Gene.symbol	Healthy001	Healthy002	Healthy003	Healthy004	Healthy005	Healthy006	Healthy007	Healthy008	Healthy009	Healthy010	Healthy011	Healthy012	Healthy013	Healthy014	Healthy015	Healthy016	Healthy017	Healthy018	Healthy019	Healthy020	Healthy021	Healthy022	Healthy023	Healthy024	Healthy025	Healthy026	Healthy027	Healthy028	Healthy029	Healthy030	Healthy031	Healthy032	Healthy033	Healthy034	Healthy035	Healthy036	Healthy037	Healthy038	Healthy039	Healthy040	Healthy041	Healthy042	Healthy043	Healthy044	Healthy045	Healthy046	Healthy047	Healthy048	Healthy049	Healthy050	Healthy051	Healthy052	Healthy053	Healthy054	Healthy055	Healthy056	Healthy057	Healthy058	Healthy059	Healthy060	Healthy061	Healthy062	Healthy063	Healthy064	Healthy065	Healthy066	Healthy067	Healthy068	Healthy069	Healthy070	Healthy071	Healthy072	Healthy073	Healthy074	Healthy075	Healthy076	Healthy077	Healthy078	Healthy079	Healthy080	Healthy081	Healthy082	Healthy083	Healthy084	Healthy085	Healthy086	Healthy087	Healthy088	Healthy089	Healthy090	Healthy091	Healthy092	Healthy093	Healthy094	Healthy095	Healthy096	Healthy097	Healthy098	Healthy099	Healthy100	Healthy101	Healthy102	Healthy103	Healthy104	Healthy105	Healthy106	Healthy107	Healthy108	Healthy109	Healthy110	Healthy111	Healthy112	Healthy113	Healthy114	Healthy115	Healthy116	Healthy117	Healthy118
GOLGA8R	1.388	10.836	2.247	1.65	6.399	0	1.266	0.556	0.293	5.558	8.73	10.329	1.509	0.076	3.325	8.84	2.138	1.228	0.182	0.719	11.426	7.784	9.95	0	0	4.583	0	0.816	2.263	7.14	0.713	5.627	0.12	0.461	3.296	7.124	3.32	6.241	5.729	7.507	11.23	0	1.161	8.299	7.721	0	2.483	0.417	0	1.11	0.814	0	0.583	4.671	0	6.303	4.227	3.98	2.93	0	0	13.814	0	12.013	0	0	0	0.361	0.603	0	4.678	0	0.5	0.588	0	0	0	0	0	27.744	0	0.075	2.422	1.16	0.064	9.475	0.139	0	0.119	0.059	5.787	2.209	0.18	6.293	6.786	0	27.27	1.776	0	0	0	7.307	0.2	0.239	0	0.049	0.292	0.146	0	0.044	3.917	17.187	0	0.042	9.458	10.41	1.483	0
CD300E	81.455	99.396	118.876	74.434	39.397	244.623	83.934	27.026	163.69	264.665	62.948	53.165	69.692	44.79	80.769	123.511	230.968	108	223.338	119.765	102.705	114.354	51.454	28.124	143.355	153.674	2576.766	121.235	86.586	201.007	784.752	19.707	40.019	116.248	130.154	22.845	69.625	473.068	62.27	64.851	151.46	105.755	178.275	283.239	71.642	79.205	98.401	887.806	75.939	48.639	274.183	68.661	38.938	68.036	461.591	98.873	471.964	38.873	278.333	70.78	52.583	43.825	48.48	49.429	53.175	36.024	76.998	54.918	36.751	85.154	100.181	22.344	95.117	38.38	102.215	71.093	53.25	46.079	91.236	47.239	151.464	65.931	84.325	72.256	24.551	25.794	213.247	56.038	37.047	22.449	445.362	326.81	48.495	528.074	255.389	188.135	159.597	63.95	56.452	42.345	238.595	466.63	95.854	162.19	62.707	66.974	117.739	21.468	49.123	79.14	55.379	295.628	58.346	117.342	87.311	70.612	79.325	99.008
CCDC30	0.759	2.601	4.917	0.255	3.206	0.486	2.337	1.186	1.635	5.06	0.864	4.908	1.185	2.793	0.74	2.145	3.899	0.806	1.313	1.947	1.472	0.723	1.988	3.684	2.661	5.044	0.183	2.41	1.073	2.893	3.511	1.913	0.079	4.614	1.738	0.631	1.695	1.91	2.257	3.648	2.499	1.399	0.173	2.648	1.115	0.091	2.65	2.09	0.648	1.166	3.528	1.391	1.787	2.009	0.116	0.809	3.582	1.459	0.55	0	0.271	0	0	2.906	0	0	0	4.118	0	0	0.865	0	0.738	0	0	0	0	0	0	0	1.86	0.049	0.905	1.703	0	0	2.416	4.29	0.664	0.039	1.689	0	0	3.71	1.124	6.243	9.333	3.991	3.322	0.019	2.215	2.781	1.591	0	0	0.384	1.006	4.178	0	0.53	0.68	2.799	1.541	2.761	0.837	5.014	1.155	0.199
NKRF	11.115	16.227	15.318	7.846	9.84	12.469	22.958	9.921	8.491	20.495	15.451	12.239	17.764	13.021	12.953	23.205	20.587	12.644	13.807	0	8.592	20.31	13.06	2.318	9.059	11.682	27.195	10.962	9.426	18.469	17.636	0	0.585	4.6	7.392	4.955	17.154	7.829	14.394	14.337	9.083	17.895	19.949	19.351	9.023	11.194	8.465	6.098	14.642	11.454	22.679	22.77	10.13	14.902	7.64	16.299	13.995	8.463	3.786	11.181	8.722	0	5.709	10.673	28.499	4.106	15.912	9.229	0	6.006	5.798	7.449	15.161	5.01	0	0	19.692	5.633	8.574	7.787	22.217	3.492	21.094	7.378	1.052	0	2.435	16.614	14.486	24.043	19.203	7.034	9.832	9.16	12.429	5.803	11.205	7.623	2.788	19.164	10.214	6.675	18.682	9.506	16.034	17.657	6.678	4.022	8.268	11.644	5.7	26.258	26.947	6.379	5.927	15.539	20.432	10.606
GLDN	0	0	0	0	0	0	0	0	1.728	0.598	0	0	0.936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.876	0	0	0.249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.446	0.152	0.376	0	0	7.33	0	0	0	0	0	0.257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.02	0	0	0	0	0	0.459	0.339	1.893	0	0	5.668	0.554	0	0	0	0	0	0	0	2.918	0	3.155	0	0	0.441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCAR	8.091	7.423	10.057	12.004	3.155	7.181	4.891	2.776	10.295	6.248	17.005	3.248	5.532	7.971	6.441	25.923	0	5.588	21.795	4.378	0	2.477	11.348	9.557	24.152	4.546	15.425	10.392	26.378	0	110.874	0	10.127	0	0	2.542	11.231	16.054	4.079	0	10.164	2.13	28.291	30.659	9.066	2.24	12.131	7.235	3.697	4.366	11.9	7.23	4.371	0	11.561	5.566	65.658	0	2.913	0	13.424	0	0	4.739	0	0	0	0	0	0	0	49.45	0.624	0.138	32.302	0	6.238	21.21	0	0	69.495	4.479	19.157	3.964	0	7.077	1.041	0	4.794	25.051	31.725	0	36.594	47.925	22.279	3.689	0	16.434	24.23	4.569	18.637	51.973	0	7.172	0.093	3.744	5.467	3.823	0	10.22	14.173	9.786	0	2.93	17.028	15.889	2.303	0
KPNA4	56.945	41.595	51.969	41.372	48.802	53.573	81.107	33.932	76.909	65.991	70.477	75.207	58.185	61.646	51.039	73.123	42.732	45.197	49.476	50.193	86.508	40.74	44.007	69.557	44.186	50.717	67.222	35.724	54.048	66.671	39.486	30.806	38.804	42.755	45.529	40.843	51.596	38.311	64.156	57.989	43.609	54.644	41.273	28.679	42.811	38.716	46.24	40.598	32.039	35.691	55.143	37.417	26.325	50.294	49.443	33.337	39.232	38.8	58.865	69.458	61.127	45.539	64.621	76.228	70.773	58.607	78.365	69.837	88.744	87.885	53.189	79.841	69.867	43.575	72.452	40.028	66.086	72.535	44.764	29.93	102.994	53.58	58.987	47.959	44.381	41.006	56.023	107.211	38.612	58.797	38.929	63.109	21.622	34.736	52.13	40.094	73.28	94.563	40.285	45.108	78.244	38.003	65.31	67.037	43.782	41.845	56.825	57.565	71.124	41.635	37.574	50.183	81.037	25.217	58.023	52.26	51.979	37.007
TRDN	0	0	0.33	0	0.743	0	0	0	0	1.128	0	0	0	0	1.753	0	0	0	0	0.476	1.435	0	0	1.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.913	0	0	0	0	0	0	0	0	0.758	0	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.351	0	0	0	0	0	0	0	0	0	0	0	0.685	0	0	0	0	0	0	0
OR6P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
