Gene.symbol	Healthy001	Healthy002	Healthy003	Healthy004	Healthy005	Healthy006	Healthy007	Healthy008	Healthy009	Healthy010	Healthy011	Healthy012	Healthy013	Healthy014	Healthy015	Healthy016	Healthy017	Healthy018	Healthy019	Healthy020	Healthy021	Healthy022	Healthy023	Healthy024	Healthy025	Healthy026	Healthy027	Healthy028	Healthy029	Healthy030	Healthy031	Healthy032	Healthy033	Healthy034	Healthy035	Healthy036	Healthy037	Healthy038	Healthy039	Healthy040	Healthy041	Healthy042	Healthy043	Healthy044	Healthy045	Healthy046	Healthy047	Healthy048	Healthy049	Healthy050	Healthy051	Healthy052	Healthy053	Healthy054	Healthy055	Healthy056	Healthy057	Healthy058	Healthy059	Healthy060	Healthy061	Healthy062	Healthy063	Healthy064	Healthy065	Healthy066	Healthy067	Healthy068	Healthy069	Healthy070	Healthy071	Healthy072	Healthy073	Healthy074	Healthy075	Healthy076	Healthy077	Healthy078	Healthy079	Healthy080	Healthy081	Healthy082	Healthy083	Healthy084	Healthy085	Healthy086	Healthy087	Healthy088	Healthy089	Healthy090	Healthy091	Healthy092	Healthy093	Healthy094	Healthy095	Healthy096	Healthy097	Healthy098	Healthy099	Healthy100	Healthy101	Healthy102	Healthy103	Healthy104	Healthy105	Healthy106	Healthy107	Healthy108	Healthy109	Healthy110	Healthy111	Healthy112	Healthy113	Healthy114	Healthy115	Healthy116	Healthy117	Healthy118
RFX1	11.385	5.198	5.367	10.158	5.282	15.049	5.775	5.709	4.22	6.371	6.07	1.406	9.527	14.728	16.503	9.041	2.312	12.382	6.192	10.497	9.973	4.527	5.147	8.275	8.193	7.435	0.271	8.734	3.161	18.823	28.569	5.053	7.405	7.383	3.808	1.651	2.469	7.551	7.9	7.117	7.951	7.376	4.111	17.066	4.76	8.727	9.569	6.011	5.412	6.481	3.567	12.89	6.072	9.93	15.874	9.168	3.74	1.722	15.863	14.208	7.377	1.971	15.72	18.464	18.802	0	8.227	10.616	29.425	39.452	11.038	0.068	11.548	18.838	0	54.799	27.008	25.47	19.064	6.994	6.557	12.543	17.024	12.623	21.134	52.66	4.225	15.998	15.878	29.54	16.749	18.544	31.832	12.186	8.686	23.328	24.185	5.809	14.294	3.082	19.652	19.511	30.068	53.444	10.733	9.093	10.06	3.744	22.164	26.158	20.818	10.248	22.409	19.026	14.044	13.465	7.083	9.417
ZNF20	0	0	0	0	0	0	0	0	0	0	0	0.077	0	0	0.723	0	0	0	0	0	0	1.099	0	0	0	0	0	0	0	0	0.152	0	0	0	0	0	0	2.148	0	0	0	1.62	0	0.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.376	0	0	0	0.217	0	0	0	0	0	0	0	0.346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C19orf57	0	1.883	1.297	0	0.518	0	0	0.214	0	0	0.56	0	0.833	0	1.236	0	0	0	0	0	0	0	0.166	0	0	0	0	0.377	0	0	1.317	0	0	0	3.228	0	3.833	0	0.794	0.675	0.33	0	0	0	1.307	0	0	0	0	0	0.752	0	0.112	0	0	0	0	0	0	0	0	0	0	0.122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.172	1.437	0	0	0	3.134	0	5.457	0	0	0	0	0	0.561	0.112	0	0	3.638	0.258	0	0	0	0	0	0
DCAF15	14.547	17.619	31.023	21.218	32.272	26.342	10.778	15.806	24.021	35.168	27.487	14.706	12.475	21.496	31.893	31.646	18.136	39.926	10.885	6.996	32.048	10.334	8.204	18.497	35.813	12.107	54.966	15.387	13.362	15.366	53.583	2.708	5.934	0.345	20.335	7.956	29.132	23.123	19.212	4.671	8.976	16.733	13.437	46.722	11.097	22.165	24.3	22.812	36.295	9.303	11.215	30.134	5.967	21.221	11.218	18.332	12.771	16.684	23.817	65.008	16.297	67.98	43.342	24.138	21.544	38.525	35.428	34.322	59.339	0	14.26	3.775	36.27	73.168	28.02	68.21	34.285	35.009	29.824	30.189	75.096	11.072	38.168	11.854	17.981	41.216	12.684	18.93	8.195	32.045	54.979	53.529	20.783	56.125	41.85	31.108	45.796	22.773	19.213	30.989	20.79	59.826	25.878	16.189	50.266	16.564	25.338	46.695	3.621	41.288	50.22	53.133	76.23	11.199	34.293	28.461	30.586	26.326
CC2D1A	11.669	11.481	6.699	10.162	6.519	10.038	17.469	11.732	16.758	17.601	13.47	12.835	11.083	13.367	12.097	18.258	10.657	11.422	32.3	0.949	17.305	6.202	9.261	7.778	16.134	1.897	15.073	10.764	31.959	9.52	41.773	11.668	1.585	22.095	13.706	6.466	17.2	22.149	17.941	12.265	14.652	12.666	16.256	28.997	5.977	11.083	8.817	10.742	9.92	2.929	21.06	2.862	3.506	15.375	8.298	9.179	10.749	16.515	9.997	12.561	4.485	0	10.209	9.178	9.771	0.285	25.031	9.925	5.306	0	20.126	51.169	17.358	10.733	2.118	9.744	6.144	12.285	6.039	32.176	6.247	10.318	20.475	29.543	14.423	16.503	32.563	16.392	11.306	21.1	58.328	21.32	14.803	42.148	22.784	41.391	12.312	20.023	18.629	3.991	41.154	28.727	2.197	26.898	25.643	21.954	27.04	48.467	26.346	23.072	37.472	29.179	26.289	14.128	19.319	23.053	15.997	18.231
RTBDN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0
MATN3	0	0	0	0	0	0	0	0.132	0	0	0	0	0	0	0	0	0	0.748	0	0	0	0	0	0	0	0	0	0	0	0	0.811	0	0	0	0	0	0.131	0	0	0.139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM21	191.396	200.292	168.394	257.877	196.087	165.741	166.892	84.065	117.184	213.714	227.361	256.944	145.808	127.274	147.387	183.709	95.526	185.067	146.194	144.561	102.376	150.871	114.662	187.813	134.682	79.295	465.067	80.977	62.108	157.67	177.936	91.441	142.154	175.538	181.547	60.805	164.248	273.976	77.673	188.2	210.614	136.698	166.218	148.271	186.901	168.638	166.119	274.613	257.834	54.315	235.961	64.688	73.725	139.923	200.145	110.559	124.507	167.685	275.29	129.891	91.195	75.249	128.112	124.475	152.702	153.553	194.221	228.572	51.483	275.779	288.669	154.142	222.123	159.772	118.324	29.967	50.014	158.746	107.675	95.238	85.065	96.994	259.549	155.601	172.905	269.1	121.448	136.942	133.586	255.917	124.618	218.654	60.075	130.471	150.797	151.946	173.644	204.504	134.984	121.981	216.48	85.145	294.586	345.046	51.439	180.111	160.383	82.507	87.506	178.599	185.939	177.171	136.307	155.2	180.125	230.077	119.419	116.71
SPATA6	10.937	16.351	7.268	3.985	15.001	8.777	11.101	6.636	24.281	15.1	5.947	14.664	8.032	10.717	5.09	8.606	4.787	2.619	13.431	0	11.768	5.81	4.521	4.823	8.63	5.433	3.571	4.627	14.355	14.239	15.859	5.4	4.752	17.199	3.056	10.381	3.166	20.688	11.118	12.953	13.284	9.757	10.955	4.013	6.224	0.549	1.92	1.558	11.433	8.365	11.73	3.954	3.556	3.487	3.685	11.573	6.023	14.953	18.615	28.785	7.816	0	18.216	6.45	7.642	2.502	15.561	8.556	46.37	13.153	3.745	48.936	10.129	20.242	19.419	0	28.974	6.969	13.477	33.061	8.74	5.52	14.511	7.336	0	2.246	27.214	1.4	4.219	26.175	10.239	46.515	5.248	10.152	7.203	15.084	4.624	7.169	7.037	0	20.546	17.037	2.834	22.214	0.297	11.678	10.019	22.265	12.367	7.752	5.377	11.996	20.789	4.227	19.369	1.71	8.51	1.496
LRRC41	8.739	6.362	4.694	6.7	7.518	9.512	5.583	4.723	5.85	8.245	11.67	6.25	3.583	2.661	6.88	6.533	8.809	15.273	12.358	9.628	5.364	7.565	1.931	3.328	5.408	9.859	9.57	5.714	4.079	12.355	20.86	8.23	4.888	8.724	8.077	7.979	12.636	5.885	12.099	10.797	10.736	8.929	6.2	15.594	3.712	7.342	7.538	9.031	8.325	9.202	8.682	1.598	4.958	4.563	4.813	5.747	10.846	7.62	8.595	12.889	9.085	4.085	17.131	5.862	9.403	29.629	13.06	13.064	14.069	29.909	13.186	0	10.506	6.852	45.763	6.595	25.349	16.94	3.382	19.377	0	6.888	19.542	13.184	8.445	8.574	12.663	23.652	4.168	5.498	24.032	8.548	4.396	21.332	10.551	17.91	14.304	28.624	8.492	25.823	7.128	16.42	18.656	15.848	2.28	21.391	12.526	12.663	19.959	13.824	16.768	18.534	5.278	12.866	13.388	15.817	14.235	8.123
CCT6B	1.893	0.238	1.788	1.092	3.56	1.336	4.855	0.758	11.99	5.23	0.78	4.507	0.201	4.352	0	3.145	2.43	0.538	15.059	5.331	0	1.352	0.147	14.724	0	0	0	0.834	3.471	4.336	2.771	5.344	0.86	0.471	5.108	1.735	2.358	5.085	0.469	5.285	0.292	2.325	0	1.315	0.105	3.95	1.542	2.455	11.437	0	0	0	0.298	1.153	0	6.003	3.694	12.823	0.673	46.22	4.792	0	17.742	0	6.619	8.847	0	0	0	10.454	7.655	0	5.109	0	0	0	0	0	28.388	2.134	0	0	7.293	2.653	0	8.775	0	7.302	4.321	4.679	2.996	4.03	0	3.184	2.929	2.385	0	0	0.959	0	0	11.177	0	0	1.679	5.633	0	0	0	0	0	2.648	4.709	0.389	2.019	7.194	6.633	6.885
DHX30	23.661	25.68	24.439	10.002	17.288	16.255	15.624	12.988	11.492	31.856	22.567	17.986	15.625	20.266	24.325	18.04	11.014	18.48	17.792	30.351	17.305	5.801	12.795	13.496	13.161	10.802	11.591	18.117	4.533	38.317	23.59	7.823	7.357	16.356	28.872	8.091	30.566	15.744	13.576	16.631	21.519	16.483	25.87	24.288	14.144	15.424	22.188	9.977	23.99	7.686	22.42	15.984	9.572	16.136	14.331	20.945	13.945	20.277	14.516	18.2	13.251	31.777	26.708	15.443	40.636	20.239	19.083	26.04	16.869	54.472	25.997	23.913	26.116	23.433	10.136	13.85	12.133	29.231	39.335	31.167	22.53	20.227	35.195	26.061	32.885	16.822	15.424	40.692	20.504	35.08	34.682	26.447	45.066	45.515	41.59	33.637	60.923	41.217	30.262	11.557	23.002	31.721	26.996	15.53	14.863	24.218	14.95	35.959	34.463	26.178	35.698	33.911	25.814	19.33	22.458	30.922	17.009	16.43
RAF1	44.872	36.994	36.953	49.409	29.112	33.904	39.507	33.64	31.911	29.345	37.691	32.031	35.139	43.304	38.747	54.279	27.24	35.781	30.291	13.098	38.894	36.424	31.853	41.751	23.274	22.31	49.464	42.485	17.256	27.73	74.352	26.452	31.62	41.655	33.966	25.232	20.266	49.482	27.444	20.323	44.516	29.056	23.681	46.023	38.094	37.3	30.414	22.876	37.106	34.414	59.846	24.024	23.89	40.493	30.726	31.558	35.686	17.013	29.157	121.237	35.573	21.316	49.673	63.342	46.159	74.64	39.681	64.551	75.156	32.752	40.166	93.686	55.638	64.727	110.821	63.193	52.115	93.919	31.148	56.605	55.991	43.805	67.87	43.225	27.606	45.174	69.636	41.456	34.923	100.313	85.526	81.335	58.19	82.075	74.14	72.919	33.155	67.364	52.256	86.787	53.522	86.901	53.057	52.628	41.982	41.66	56.9	35.295	61.889	42.524	54.357	44.587	80.531	35.98	54.199	55.719	39.724	67.699
SLC6A11	0	0	0	0	0.149	0	0	0	0	2.059	0	0	0	0	0	0	0	1.393	0	0	0	0	0	0	0	0	0	0	0	0	0.189	0.199	0	0	0	0	0	0	1.819	0	0	0	0	0.077	0	0	0.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.521	0	0	0	0	0	0	0	0	2.269	0	0	0	0	0	0	0	0	0	0	0.342	0	0	0	0	0	0	0	0	0.924	0	0	0	0	0	0	0
PPARG	18.695	2.847	8.298	9.773	9.548	14.049	21.962	5.251	19.337	6.374	11.513	20.122	6.35	11.585	10.192	17.281	14.396	12.52	12.97	4.041	11.169	10.911	9.585	35.013	6.235	7.773	3.915	2.711	6.881	9.051	15.611	4.027	0.235	8.221	2.245	9.616	5.229	7.859	12.544	5.813	13.489	24.536	15.998	4.57	5.736	6.112	2.514	1.224	14.972	0.434	16.556	26.11	1.711	2.992	18.181	11.828	5.183	8.689	10.172	0	19.395	0	0.234	13.391	11.518	5.813	10.832	4.058	26.362	5.771	8.563	2.301	8.708	3.161	0	30.023	24.29	10.985	9.627	0.34	8.049	3.943	6.904	5.137	4.472	11.077	3.258	22.117	3.141	14.56	10.755	0	5.111	3.572	5.903	7.547	0	38.691	26.634	36.586	11.312	4.361	0	13.049	16.872	6.67	11.933	6.316	8.148	6.1	3.125	6.066	31.549	0.248	6.351	11.079	4.433	6.395
NUP210	11.699	5.366	10.01	17.724	2.129	7.598	10.587	2.76	7.463	29.428	22.147	14.714	6.861	13.089	13.832	21.239	21.749	20.533	27.081	13.048	5.721	11.697	5.782	3.439	2.016	12.268	5.546	65.759	22.066	20.43	120.443	5.008	4.035	26.404	9.361	9.251	10.643	25.963	9.001	5.705	12.014	12.727	39.474	38.44	6.191	16.043	4.229	7.973	10.488	4.629	18.573	16.891	12.957	19.2	10.841	10.246	38.056	7.188	5.897	25.041	10.974	7.415	29.102	7.023	20.512	0	51.386	19.218	18.253	8.593	17.187	3.006	7.984	1.354	2.693	0	21.251	26.234	24.456	12.395	7.285	3.724	17.895	12.943	20.692	4.128	7.074	8.096	16.021	4.956	126.888	67.979	47.7	101.446	100.45	19.652	17.322	28.814	6.819	7.067	10.085	112.211	17.052	13.325	11.373	11.144	4.084	27.243	19.794	11.939	9.49	27.935	10.223	7.487	13.48	18.509	2.985	10.039
FCRLA	6.681	4.416	11.321	10.117	2.128	14.856	7.924	0.877	1.388	10.833	5.627	0.684	2.22	12.34	14.189	0	9.967	8.549	0.246	0	0.587	0.994	5.465	1.995	6.116	4.196	20.782	12.807	0	7.248	4.246	2.992	0.325	7.953	14.059	8.265	12.233	0	1.086	2.771	0.129	1.795	2.43	14.397	4.32	12.821	0.12	6.498	0	0	26.342	3.175	3.685	12.755	13.483	4.904	11.754	7.542	1.943	0	0	19.564	0	8.273	2.615	17.123	0	0	32.19	0	1.842	0.114	7.888	2.288	0	35.726	0.989	9.283	1.515	0	0	1.011	1.457	1.109	0	0	3.478	5.487	5.96	12.938	23.403	0	13.991	14.472	16.517	7.224	21.264	0.075	3.407	0	0.933	12.603	0.473	0	0	12.667	10.27	0	17.273	1.418	0	1.813	43.015	3.604	1.781	7.29	3.041	8.548
HSD17B7	6.01	10.811	2.78	1.981	0.625	0.889	0	0.516	6.322	7.975	5.078	5.964	7.001	2.96	5.02	13.193	3.746	7.488	1.349	0	2.952	5.996	4.281	0.105	0	2.751	0.826	11.806	12.479	3.002	10.584	0	3.9	0	0	3.147	0	4.515	7.335	0.543	9.359	9.843	12.246	4.338	0.382	3.413	0	1.743	3.139	0	7.706	5.757	0.361	1.27	1.717	2.554	8.128	2.154	2.109	0	4.474	20.055	0	9.386	1.703	0	5.402	5.443	0	0	1.184	0	4.403	0	0.072	10.058	0	0.077	0	10.129	4.065	1.455	3.994	10.829	11.674	0	0	0.674	0	8.052	5.634	6.479	12.043	7.785	3.408	5.721	12.06	0	0	0	0	8.879	2.271	1.509	1.292	2.125	2.391	0	3.39	2.308	4.971	6.047	0	5.646	3.281	8.8	0	0
ENOSF1	3.659	1.178	2.428	0.944	0.568	1.457	1.508	0.288	2.65	8.271	1.374	3.483	2.144	2.541	0.921	9.417	0.831	6.278	1.06	1.049	3.15	1.942	4.599	1.807	1.706	0.786	4.284	9.136	1.467	2.82	8.152	2.97	1.682	3.405	1.903	1.803	3.515	4.731	1.381	0	1.888	0.626	3.532	4	4.885	4.077	0.966	0.812	6.578	0.863	3.294	8.064	2.004	0.157	1.2	1.634	2.092	1.858	1.977	6.412	1.822	7.064	0.093	0.902	2.667	0	0.183	2.598	0	0	1.025	0.85	5.148	0	0	15.856	1.011	0.257	1.335	0	1.087	0.145	0.34	1.009	0	5.827	2.917	3.765	4.327	4.311	10.309	8.52	3.529	5.974	7.24	2.297	0	11.141	5.663	0.022	2.432	5.709	2.215	4.931	0	1.118	1.967	0.019	0.7	0.933	0.771	3.663	1.72	1.66	3.455	3.392	1.286	0.897
LINC00470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.089	0	0	0	0	0.247	1.811	0	0	0	0	0	0	1.785	1.123	0	0	0	0	0	0	0	0	2.373	0	0.949	1.761	0	0	0	0	0	10.833	0.92	0	0	2.254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EMILIN2	33.999	17.338	42.825	27.818	33.18	20.281	43.326	14.163	25.438	37.826	27.443	39.656	36.838	16.015	36.96	32.565	28.799	17.404	43.824	27.239	20.725	32.781	16.888	22.098	30.486	36.305	105.689	37.76	21.735	35.583	209.231	13.913	15.308	34.604	47.611	10.126	35.259	60.923	31.177	13.365	28.716	25.122	95.726	80.359	30.779	25.403	30.123	48.817	33.596	11.542	52.391	23.926	14.533	8.267	26.173	18.867	103.445	33.587	40.705	47.353	12.53	12.248	15.164	16.914	28.676	29.57	48	21.451	4.155	10.319	20.681	0	40.031	29.415	23.325	57.848	12.811	6.603	7.761	27.783	16.549	35.302	14.551	24.968	22.107	30.079	38.702	45.26	19.018	31.995	173.69	129.775	32.167	180.731	94.868	40.694	18.215	49.486	10.813	17.892	72.831	128.91	29.355	31.61	41.393	29.581	19.566	17.136	33.534	19.87	39.857	82.294	13.745	24.077	25.581	9.441	18.22	25.269
SLX1A	0	0	0	0	0	0.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.455	0	0	0	0	0	0	0	0	0	0	0	0.381	0	0	0	0	0	0	0	0	0	0	0	0	0.146	0	0	0	0	0	0.138	0	0	0	0	1.151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARFIP2	10.297	9.724	10.001	24.303	6.09	9.014	8.847	4.328	8.315	7.915	9.598	12.176	6.352	11.222	7.948	1.924	2.577	4.832	3.64	1.95	12.915	4.29	3.129	18.351	7.874	8.211	10.584	11.436	4.091	23.461	17.374	3.522	1.504	8.557	4.251	4.812	11.159	12.183	9.848	2.685	8.895	21.5	35.071	16.777	6.959	6.369	1.998	5.748	3.529	6.575	9.377	5.431	6.004	14.921	22.952	5.442	8.145	7.196	18.866	0	5.289	23.056	8.186	19.347	0.242	4.872	1.881	27.793	0	0	11.64	0	8.546	6.44	0	0	7.658	21.721	3.798	0	10.969	3.429	1.852	8.031	23.705	13.143	12.46	7.623	2.135	14.241	18.483	0	20.512	10.899	15.171	11.243	0.462	25.99	6.302	21.344	20.547	8.688	15.3	4.193	2.034	3.579	9.822	13.379	4.809	9.832	8.379	3.688	4.596	4.761	11.874	18.582	2.476	8.962
TRIM5	13.805	15.913	29.374	28.664	13.779	15.995	17.447	14.784	16.293	28.582	23.399	20.728	16.287	15.353	11.493	13.831	28.933	26.713	19.623	12.107	28.162	18.432	11.843	17.782	14.47	19.278	111.8	21.677	10.208	10.809	26.579	7.51	26.157	7.655	11.704	19.303	12.425	29.187	17.445	12.955	19.672	18.617	22.897	18.12	16.245	21.808	11.54	48.152	17.429	3.891	31.182	21.436	12.469	13.898	13.991	21.93	27.586	20.751	28.532	7.063	23.904	21.363	3.974	6.807	12.121	6.385	18.024	6.996	0	57.726	19.463	6.127	19.513	7.731	2.365	38.49	27.202	10.522	14.389	10.33	23.422	15.234	17.38	19.966	23.866	30.839	23.005	34.277	4.941	75.38	28.744	11.622	26.008	17.796	18.211	27.589	12.965	29.609	15.213	31.816	18.721	24.225	37.017	27.816	38.556	35.891	23.92	24.029	30.009	15.623	27.339	34.397	8.581	13.805	30.51	29.67	21.59	14.237
CNGA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.255	0	0	0	0	0	0	2.381	0	0	0	0	0	0	0	0	2.026	0	0	0	0	0	0	0
TRIM22	164.908	180.528	163.163	223.45	144.515	189.985	231.562	85.926	166.33	385.021	202.847	197.11	165.241	181.983	219.952	283.86	235.781	205.423	161.816	170.464	157.526	180.289	146.647	206.002	149.335	154.833	946.321	221.516	136.44	245.054	421.794	87.606	151.422	185.458	244.976	92.423	171.676	311.59	119.805	168.495	270.931	233.31	264.676	131.86	189.523	131.368	133.107	527.354	177	65.695	353.524	171.786	84.33	146.902	224.855	102.812	281.478	138.627	295.154	207.24	119.525	195.157	96.285	124.158	121.544	120.859	78.415	136.581	106.53	127.752	143.226	122.18	189.371	184.002	152.06	65.712	99.386	182.233	190.698	192.678	323.421	110.898	131.761	163.702	125.97	188.533	175.198	144.65	83.902	209.22	220.913	176.786	143.114	269.18	196.398	189.296	189.53	110.456	67.897	113.46	183.045	199.457	151.34	169.686	201.748	161.439	156.575	166.032	160.243	109.991	153.014	215.021	209.079	152.243	142.599	201.402	174.006	135.416
RRP8	20.94	13.656	16.549	23.188	11.217	19.803	30.955	8.185	12.481	28.379	28.397	24.146	19.119	20.288	9.781	19.198	11.409	23.146	16.646	27.049	28.067	7.525	15.053	13.72	11.405	4.489	17.1	19.432	20.85	23.148	17.077	7.593	19.154	15.273	11.385	7.603	9.273	17.546	12.034	22.727	14.628	18.319	19.813	24.702	9.428	13.84	13.121	13.568	27.622	9.451	21.849	3.15	10.086	9.748	18.573	19.117	19.145	22.813	24.704	14.14	12.795	2.13	30.262	10.191	41.317	17.38	22.071	26.762	7.449	19.58	20.533	26.861	37.588	35.205	0.099	7.647	26.992	18.838	43.385	27.208	27.189	14.544	27.614	15.649	2.523	35.835	23.883	32.932	11.965	20.393	32.212	22.516	11.277	20.498	20.972	30.961	16.791	7.217	13.245	27.565	38.884	23.231	11.23	56.413	3.122	5.119	9.562	20.784	38.095	16.656	24.308	29.533	7.776	6.902	31.103	14.826	15.527	8.5
TIMM10B	59.355	90.363	87.528	82.214	46.153	42.409	62.85	50.76	71.877	85.66	78.474	116.555	77.665	63.9	99.654	53.784	54.709	86.447	56.171	47.422	101.417	58.021	45.826	64.608	41.845	32.223	15.732	40.665	49.109	100.503	62.151	47.458	23.637	19.65	76.434	31.318	43.288	38.706	83.844	58.269	36.903	56.611	76.808	67.473	52.375	54.425	34.909	59.333	66.572	35.586	61.129	58.462	28.485	38.039	66.435	65.589	36.296	73.394	66.607	108.357	61.664	71.599	51.445	78.498	101.369	112.061	65.296	109.993	203.981	137.046	113.685	1.715	50.85	128.346	105.849	107.067	164.192	61.791	89.51	86.564	53.96	64.14	67.17	52.635	63.64	49.278	37.153	81.046	45.968	69.927	172.262	100.761	55.891	106.732	77.777	54.99	81.603	41.11	52.166	35.96	64.748	62.022	41.364	89.07	102.456	59.754	26.586	114.8	55.208	106.167	62.354	110.433	91.926	70.972	52.813	45.231	64.197	38.477
EFR3A	92.676	96.438	122.337	71.662	93.886	90.784	110.805	84.466	118.446	134.587	117.707	118.784	126.915	91.844	111.874	84.403	64.568	94.13	93.615	95.269	105.018	95.607	85.723	109.141	91.833	62.478	154.714	90.09	84.345	116.593	151.781	62.534	44.851	96.756	123.383	67.863	77.449	117.293	74.338	33.615	78.495	95.469	86.259	64.047	94.338	83.871	88.446	81.898	81.065	35.243	81.546	108.474	56.051	86.419	90.74	70.903	84.989	81.664	123.554	195.424	63.279	106.046	103.547	95.208	140.112	155.305	108.016	84.321	85.428	133.557	102.024	101.253	86.889	116.711	96.941	62.655	111.187	88.426	49.742	77.198	95.865	71.767	122.175	75.192	90.37	54.271	73.572	69.459	49.542	97.616	134.312	53.459	65.988	83.888	74.062	78.767	113.723	71.124	74.396	71.154	86.83	69.798	109.96	106.824	128.095	68.965	65.441	57.447	65.336	78.225	120.654	72.266	154.575	70.108	103.137	80.387	77.559	61.514
HHLA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTCD3	22.871	14.941	26.406	18.036	13.319	9.004	21.082	13.127	29.973	35.939	16.589	19.846	21.949	30.285	20.475	18.439	20.823	25.711	16.251	8.388	25.549	15.374	10.44	29.514	10.839	13.873	6.017	31.235	16.886	15.667	19.777	14.331	10.949	8.743	12.153	13.365	17.336	12.78	16.141	8.717	12.079	17.929	21.461	15.344	14.997	13.997	13.849	18.571	27.827	8.469	20.704	16.864	7.166	12.997	25.798	9.196	17.697	13.887	12.729	15.343	21.995	1.172	18.105	22.613	36.226	21.079	16.833	10.825	9.32	3.228	13.539	22.252	21.677	19.104	45.082	19.803	32.62	12.505	7.712	0	20.296	4.985	15.579	14.438	7.677	6.953	11.207	11.926	14.091	25.73	29.478	14.423	10.825	22.548	22.863	17.809	16.454	21.404	8.396	22.705	1.417	20.249	6.035	16.987	38.941	21.449	20.957	6.675	24.687	6.3	11.861	12.695	14.884	6.857	7.192	21.789	19.91	8.906
IMMT	95.198	62.849	94.821	64.99	73.544	52.02	89.741	42.537	78.14	110.019	102.941	70.045	84.5	69.958	61.236	89.332	47.814	81.952	107.741	73.557	59.678	56.679	52.122	40.97	78.037	33.128	91.685	58.782	26.422	88.214	76.437	69.843	60.779	46.511	87.081	36.846	57.538	59.412	82.952	69.068	78.217	60.676	73.982	68.765	74.764	69.85	39.851	47.82	99.069	43.192	65.291	81.798	32.003	51.503	91.467	58.581	51.28	45.96	75.625	51.892	82.29	62.732	33.261	51.215	73.147	42.326	57.022	100.679	47.05	73.786	97.042	51.133	83.052	47.487	0.173	11.619	41.454	78.202	63.476	67.974	97.456	46.441	102.192	68.015	27.068	29.407	58.002	66.272	42.217	71.675	83.112	36.312	28.873	57.797	48.605	69.442	57.15	36.365	39.085	23.083	68.291	32.073	28.557	67.474	71.472	61.416	54.899	97.471	102.15	26.206	80.119	79.982	46.286	45.027	79.03	68.97	37.381	56.439
