Gene.symbol	BRCA001	BRCA002	BRCA003	BRCA004	BRCA005	BRCA006	BRCA007	BRCA008	BRCA009	BRCA010	BRCA011	BRCA012	BRCA013	BRCA014	BRCA015	BRCA016	BRCA017	BRCA018	BRCA019	BRCA020	BRCA021	BRCA022	BRCA023	BRCA024	BRCA025	BRCA026	BRCA027	BRCA028	BRCA029	BRCA030	BRCA031	BRCA032	BRCA033	BRCA034	BRCA035	BRCA036	BRCA037	BRCA038	BRCA039	BRCA040	BRCA041	BRCA042	BRCA043	BRCA044	BRCA045	BRCA046	BRCA047	BRCA048	BRCA049	BRCA050	BRCA051	BRCA052	BRCA053	BRCA054	BRCA055	BRCA056	BRCA057	BRCA058	BRCA059	BRCA060	BRCA061	BRCA062	BRCA063	BRCA064	BRCA065	BRCA066	BRCA067	BRCA068	BRCA069	BRCA070	BRCA071	BRCA072	BRCA073	BRCA074	BRCA075	BRCA076	BRCA077	BRCA078	BRCA079	BRCA080	BRCA081	BRCA082	BRCA083	BRCA084	BRCA085	BRCA086	BRCA087	BRCA088	BRCA089	BRCA090	BRCA091	BRCA092	BRCA093	BRCA094	BRCA095	BRCA096	BRCA097	BRCA098	BRCA099	BRCA100	BRCA101	BRCA102	BRCA103	BRCA104	BRCA105	BRCA106	BRCA107	BRCA108	BRCA109	BRCA110	BRCA111	BRCA112	BRCA113	BRCA114	BRCA115	BRCA116	BRCA117	BRCA118	BRCA119	BRCA120	BRCA121	BRCA122	BRCA123	BRCA124	BRCA125	BRCA126	BRCA127	BRCA128	BRCA129	BRCA130	BRCA131	BRCA132	BRCA133	BRCA134	BRCA135	BRCA136	BRCA137	BRCA138	BRCA139	BRCA140
GPM6A	0	0	0.298	0	0.597	0	0	0	5.48	0	2.461	0	0	0.396	0	0	0.761	0	0	8.705	1.434	1.305	0	2.194	1.182	0.034	3.286	0	1.885	1.172	0.514	1.414	0.431	0	0.022	1.084	4.853	1.305	0	3.27	0	0.335	0.283	0.63	0	0.741	0	0.118	0.128	0.492	0.572	0.274	0.445	0	0	0	0.926	0.141	0.404	0.415	0.751	0.043	0.161	1.016	0.273	0.554	0.185	1.568	0.378	0.07	2.224	0.113	0.547	1.767	0	1.228	0.294	0.066	0	1.667	1.726	1.814	1.631	1.855	1.621	1.773	0.762	0.808	0	1.439	0.27	3.466	0.092	0.601	0.079	0.163	2.153	0.823	0	0	0.842	0.296	1.63	3.632	1.273	0.529	0	0.291	0.619	0.06	0.674	1.314	0.284	0	1.758	1.756	4.134	0.639	0.683	0.983	2.183	0.227	1.083	0.934	0	1.016	0.603	0.04	0	0	3.123	0	0	0.222	0	0	4.744	2.334	0	0
WDR17	0.05	0.39	0	0	6.665	1.203	0	0	0	0	0	0	0	5.215	0.927	0	0	0	0	0	0.68	1.373	0.252	2.143	1.332	0.746	0.03	0.114	0.395	0.805	0.051	2.96	0.457	3.502	3.516	0	1.034	0.598	3.022	0	0	0.478	2.706	0.108	0	0	0	0.071	2.417	2.639	0.658	1.778	0.584	1.821	0	0	1.605	0.954	0.486	0.801	1.969	0.195	1.451	1.632	0	0.428	0.888	1.939	2.534	0.823	1.025	0.559	2.249	1.168	0.878	2.987	0.884	0.657	2.36	1.369	0	0.588	0.508	0.456	0.047	0.28	1.112	0.765	1.109	0.053	1.246	0.727	0.527	0.032	0.667	0.147	3.006	2.81	0.941	2.513	1.316	0.495	1.698	0.238	1.53	1.858	0.24	1.31	0.499	0	1.033	0.523	0.096	0	0.323	1.481	1.942	1.017	3.491	6.099	0.448	0.701	2.228	0	0.363	0	0.952	0	0	0	0	0	0.356	1.059	0	1.127	0.885	0	2.285	0
SPATA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VEGFC	27.011	40.718	18.205	64.172	23.242	4.96	37.45	55.189	30.624	22.583	38.93	15.764	49.368	24.202	46.276	0.511	85.715	6.025	11.754	17.338	68.94	19.773	37.607	17.288	41.003	20.349	20.364	6.608	31.239	15.908	17.602	2.424	53.341	27.893	6.245	9.382	12.179	23.532	18.167	23.484	4.327	4.301	11.53	16.236	8.235	24.355	9.141	26.331	8.988	22.553	18.872	14.419	13.89	24.101	29.186	16.3	3.522	32.509	16.271	46.196	23.028	39.995	24.57	51.168	0.318	32.249	24.526	17.468	9.03	12.666	8.195	31.479	7.753	30.157	23.544	27.163	12.552	35.543	12.575	13.854	50.784	15.421	14.059	39.574	0.076	18.83	2.743	36.789	39.37	20.499	16.179	38.694	29.253	15.831	37.82	18.99	23.946	16.25	30.033	20.961	22.697	18.921	9.902	52.74	42.339	20.658	28.114	22.335	11.09	36.251	24.307	19.671	24.814	18.421	23.766	32.466	41.594	29.76	22.114	28.522	12.059	19.688	4.684	25.412	30.642	16.482	16.787	21.514	13.17	40.764	19.111	24.006	2.681	42.196	39.978	26.232	6.186	6.686	8.661	44.071
CCDC102B	0.202	0	16.624	15.913	9.146	9.531	38.82	0.563	2.157	5.738	6.964	2.14	9.08	7.591	0	6.107	7.911	5.132	14.024	7.471	1.922	6.462	6.429	3.548	3.297	9.946	2.192	7.537	4.205	3.35	5.4	7.442	9.03	4.828	4.835	7.853	5.789	3.322	9.972	0.071	6.867	12.381	1.82	1.674	10.23	2.248	14.54	7.763	0.464	4.823	7.676	5.081	1.374	7.307	10.153	5.9	4.923	2.651	1.308	7.401	10.841	2.936	3.024	5.622	2.786	6.194	4.776	5.108	0.203	6.217	6.413	2.734	4.102	1.643	3.238	4.086	8.236	6.706	3.446	5.812	2.548	2.406	6.256	3.954	7.358	7.581	4.442	1.274	1.978	10.931	3.148	1.075	0.783	6.6	10.447	14.547	6.866	4.243	2.558	4.039	1.089	11.986	3.338	2.238	5.659	10.909	4.688	4.177	1.818	9.736	3.759	5.483	10.388	0	3.671	3.985	4.387	11.95	2.003	1.807	6.066	3.142	4.915	2.065	9.939	23.172	1.372	2.598	14.213	1.407	3.265	5.859	4.683	6.467	1.31	6.522	15.157	1.873	5.855	3.655
CD226	172.632	36.572	23.843	34.455	68.53	77.918	58.767	45.096	96.671	64.728	160.603	40.006	40.966	45.113	63.462	68.95	172.189	55.591	36.032	31.214	312.061	220.788	158.429	153.381	271.293	150.851	158.399	116.49	59.43	72.342	120.293	37.125	105.763	138.861	73.443	125.68	50.614	211.143	54.459	90.477	44.797	63.367	41.255	67.132	55.457	91.521	37.795	107.141	50.836	67.928	126.867	107.279	173.49	245.552	17.751	133.551	34.963	267.738	44.631	144.4	97.927	343.4	31.059	178.15	28.149	216.944	42.44	93.985	174.787	36.866	33.369	203.997	121.935	72.364	154.133	265.72	75.959	215.478	118.903	35.261	164.129	38.162	22.084	239.159	30.495	82.983	31.001	339.437	116.443	73.371	268.75	175.355	298.305	66.326	25.834	135.167	54.789	145.175	94.161	85.615	59.312	33.575	37.665	119.393	29.95	154.002	212.655	66.86	93.195	132.906	284.826	63.03	276.063	263.628	67.475	124.798	47.885	81.91	37.829	14.799	34.364	264.226	44.839	150.563	203.98	102.284	66.933	75.329	45.472	70.561	113.796	114.687	132.963	183.255	160.842	46.071	29.707	27.232	90.363	131.633
CNDP1	0	0	0	5.596	2.344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263	0	0.693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276	0	0	0	0	0	0	0	0.227	0	0	0	0	0	0	0	0.087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.331	0	0	0	0	0
FSIP1	1.02	0	0.304	0	0	0	4.116	0.271	0.392	0.452	0.314	0	0	0	0.14	0	12.195	3.305	0	2.049	2.001	5.877	4.046	1.305	3.555	2.389	0.134	0	1.442	5.462	0.466	2.729	0	2.426	0	7.84	0	1.877	0	0	0	0.967	0.577	0	0	0	0	6.567	10.31	1.23	1.166	4.524	0	1.676	3.528	5.953	0	37.456	1.649	3.746	0	3.086	0.82	4.014	0	4.764	0	1.279	4.106	0.716	1.512	4.138	2.3	1.922	2.893	8.852	5.8	1.418	1.945	1.396	3.672	1.85	2.721	0.229	4.16	9.222	0	1.73	1.167	0.778	2.131	1.973	5.205	3.675	4.958	0	0.212	0.12	1.313	1.248	0.801	1.034	0	0.358	7.853	1.533	9.107	0.592	0.664	1.1	5.291	2.364	2.754	0	2.987	9.012	2.635	1.841	1.742	0.243	3.55	4.557	1.529	1.457	0.11	1.753	0.154	3.956	0	0	0	3.164	0.089	0.388	1.584	0.222	0	0.513	1.559	0
DLG2	0	3.094	0	0	2.234	1.624	0	0	0.223	2.149	3.284	0.504	0	0	0	1.184	0.87	0	0.176	4.063	0.064	1.993	1.528	1.695	0.373	1.263	2.035	1.994	0.908	1.317	1.034	0.277	0.726	0.102	0	0.359	0.236	0.045	0.272	2.371	0.485	0.729	0.286	1.188	1.12	0.833	0.154	0.753	0.57	0.631	0.598	0.496	0.239	1.24	1.224	1.357	0.18	0.772	2.357	0.374	1.179	0.729	1.254	1.766	0.945	0.167	1.193	2.058	3.818	0.858	0.958	1.306	1.022	0.819	0.176	1.263	0.527	0.907	0.795	1.141	0.695	1.756	0.525	2.724	0.727	0.934	0.581	1.311	0.603	0.742	0.568	0.815	0.648	0.819	0.022	0.275	1.112	0.495	0.122	0.745	0.875	0.018	2.441	0.407	0.577	1.021	1.236	0.437	0.837	0.555	0.894	0.586	1.992	0.771	0.521	0.43	0.798	0.491	0.024	1.243	0	0.641	0.234	0.347	1.019	0	0	0.119	0	0.02	0.393	0.253	0	1.952	0	1.305	1.558	0.242	0.61	0.084
CCDC83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076	0	0	0	0	0	0	0	0	0	0	0	3.157	0	0	9.434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS18	2438.322	200.293	127.1	422.237	251.587	600.982	562.52	361.803	683.188	738.447	957.587	455.279	322.245	466.358	959.221	717.246	1385.179	693.313	265.661	183.8	1436.992	2584.383	1341.84	1648.994	1380.396	1953.595	1647.997	976.657	538.167	595.06	1148.051	351.057	1360.972	1685.742	1050.757	731.884	503.843	2140.813	473.964	532.734	323.247	605.254	351.876	514.94	551.196	1234.634	214.313	980.19	320.043	522.747	1178.115	627.213	858.037	2610.232	252.925	1587.094	465.66	1961.706	206.945	1708.108	1349.274	2262.685	459.732	2025.177	579.356	2980.362	500.083	749.781	3568.567	466.36	412.03	2426.118	1181.078	558.449	2490.299	2262.79	1331.872	3417.334	1722.204	436.256	1546.428	345.142	260.047	2882.976	224.454	624.45	227.379	2001.311	1345.237	664.815	1349.927	1858.26	3640.903	637.813	323.255	1668.074	531.711	2073.923	1116.383	1204.52	473.041	314.605	416.824	1900.976	292.771	1392.469	2931.645	515.608	1495.383	1122.821	3756.74	622.773	2086.412	3914.653	478.937	1640.645	637.921	839.904	126.859	187.664	210.907	2307.641	312.03	956.184	892.842	711.923	511.25	380.01	305.188	422.459	992.508	1020.417	970.351	1079.558	588.255	140.376	151.935	96.678	754.323	650.524
PRSS23	6.71	4.513	0.089	4.796	3.587	6.811	1.295	7.05	5.945	3.729	4.679	8.285	3.796	20.409	11.61	11.005	8.291	4.325	4.685	10.615	3.127	4.114	1.117	4.062	3.424	2.069	2.999	2.898	6.549	8.879	6.34	4.67	5.824	4.227	2.315	0.775	5.284	1.657	7.137	13.391	6.094	0.821	3.791	4.558	4.825	2.615	4.085	5.435	6.684	5.782	3.516	2.088	4.762	2.467	1.786	4.049	2.138	1.101	4.208	3.309	1.147	1.532	4.878	3.279	3.678	5.705	4.508	3.309	1.738	2.909	0.267	4.331	2.339	6.33	4.008	3.018	2.87	2.783	3.948	4.647	3.484	3.336	3.899	4.151	4.93	5.856	2.613	1.043	1.958	0.74	1.963	4.259	3.047	1.973	1.872	4.262	4.692	3.601	6.505	7.673	4.348	1.953	6.762	7.069	3.919	4.849	1.681	6.005	1.467	5.863	3.075	3.991	2.945	0	4.143	2.16	4.654	4.245	10.017	9.036	7.533	1.867	3.617	1.583	1.613	1.032	3.374	6.624	4.674	8.525	8.126	3.409	8.22	3.125	4.095	8.611	5.186	5.24	6.885	6.644
MTMR12	109.766	51.775	47.671	19.798	68.254	55.252	40.552	88.933	101.794	81.571	58.261	36.078	68.861	85.506	108.207	45.574	76.059	81.281	19.281	62.064	103.102	118.257	83.914	80.904	83.734	84.257	82.866	45.982	90.351	65.354	66.419	45.142	89.613	60.065	72.226	76.877	71.469	80.23	37.53	92.954	79.625	42.106	65.741	65.869	58.886	66.835	49.035	68.078	59.777	61.07	74.528	77.671	84.919	96.926	77.567	59.892	53.078	69.373	59.891	72.896	62.292	118.563	58.927	90.575	59.858	83.341	47.659	75.782	80.418	38.07	54.84	86.151	80.387	63.041	80.19	112.676	68.011	94.711	82.941	63.75	65.634	69.316	59.285	102.627	54.285	81.617	40.196	97.412	72.107	64.303	98.084	91.497	102.955	68.913	73.403	69.307	81.399	91.187	78.136	72.665	74.4	62.148	52.595	84.856	65.667	94.648	83.18	76.716	64.905	85.762	97.442	62.991	83.299	63.638	68.018	78.938	80.157	67.233	47.063	53.12	53.364	111.785	64.676	82.028	104.357	77.738	63.015	69.163	45.982	35.463	93.477	69.578	59.945	90.829	80.122	53.45	51.049	94.472	39.025	81.014
PPP1R1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.603	0	0	0	0	0	0	0	0.79	0	0	0	1.727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.324	0	0	0	0	0	0.042	0	0	0	0.407	0	0	0	0.466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C11orf53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCT5	134.739	209.486	232.64	125.186	205.616	146.594	211.176	170.27	173.285	192.455	119.558	152.697	207.816	189.914	241.643	188.014	132.661	194.762	184.109	189.411	118.021	120.826	121.178	149.141	135.452	148.148	117.366	108.825	158.899	163.552	144.285	177.29	130.782	162.372	151.705	113.226	136.834	93.968	162.513	131.363	158.522	104.352	170.293	149.598	156.972	146.085	152.647	148.381	172.702	166.523	192.451	148.347	125.38	95.884	100.107	174.473	96.862	95.59	146.413	67.583	68.782	140.585	114.344	123.069	122.524	139.816	99.2	151.064	158.2	72.814	101.416	116.875	136.158	173.989	147.275	117.744	155.009	138.407	143.117	153.091	145.947	176.491	156.533	175.468	155.916	162.284	190.686	79.208	114.391	136.219	143.091	129.169	113.083	138.427	148.144	136.357	168.253	105.17	134.832	155.058	176.839	121.245	155.821	81.855	156.904	120.873	92.01	162.019	80.532	108.061	107.932	135.618	136.398	68.529	144.806	156.587	140.818	168.597	142.454	138.977	142.968	113.028	171.605	148.51	94.081	115.659	153.242	156.015	184.564	150.99	129.541	143.12	121.948	152.458	94.245	182.009	171.195	183.934	119.523	101.895
FAM173B	7.949	29.4	0.426	0	12.81	11.024	6.168	11.57	25.565	0	2.932	2.703	0	0	7.058	10.884	12.747	15.963	8.765	12.446	0.216	6.375	1.684	3.921	2.619	10.247	2.349	0	11.84	7.021	9.712	8.448	2.607	9.648	10.774	7.082	0.839	6.853	4.702	0.927	1.578	4.626	9.714	1.544	6.46	3.18	3.838	14.822	3.285	5.686	12.179	7.361	17.587	6.852	24.137	9.018	14.663	10.08	5.588	5.93	0.976	5.44	2.99	0.182	2.659	16.416	1.408	7.176	8.276	2.209	3.533	11.925	5.472	7.242	3.976	3.266	7.361	3.03	6.093	4	6.436	3.891	5.68	3.054	0.972	13.818	4.978	4.852	3.763	3.022	8.867	2.536	5.628	5.659	1.813	6.066	5.462	11.433	13.776	2.332	8.346	3.865	3.935	11.725	6.718	6.848	1.906	4.865	6.615	0	5.202	0.442	10.366	2.291	14.054	6.966	8.62	7.206	3.908	3.664	10.589	10.648	7.462	1.1	0.768	15.196	6.579	0	6.896	9.818	0	7.462	1.506	7.079	16.414	0	14.126	8.831	15.991	19.959
DOCK1	37.449	30.704	17.521	91.585	46.742	32.885	39.591	23.86	35.328	46.283	46.55	21.956	25.031	68.989	53.832	35.392	43.244	62.362	55.656	31.382	29.039	16.549	32.97	19.209	20.005	26.814	28.359	15.74	37.897	20.336	24.036	33.058	20.497	26.467	19.679	21.571	22.826	11.824	21.779	27.513	26.139	6.27	24.234	38.347	17.48	10.444	35.901	27.893	31.349	30.29	16.112	32.936	43.209	21.52	42.117	38.468	35.102	18.99	43.585	33.711	43.898	28.859	42.148	32.448	37.455	28.585	27.509	33.438	26.223	11.901	42.262	25.973	19.47	20.575	20.032	36.171	26.731	27.77	20.18	27.511	26.145	23.824	24.123	58.714	32.515	42.781	31.232	30.254	18.901	35.339	22.907	22.514	19.304	34.557	23.739	30.126	32.823	17.032	46.495	22.804	33.44	22.897	26.426	43.051	24.83	29.81	27.028	23.898	19.157	35.148	29.743	27.898	26.89	30.312	25.469	39.163	51.164	30.926	48.717	59.547	30.656	29.035	40.086	41.851	30.738	24.528	38.611	47.591	33.035	38.073	29.611	32.749	23.106	30.709	35.589	21.277	30.58	54.278	44.11	23.18
DIXDC1	7.268	0	0.247	10.384	3.707	1.84	5.585	9.714	2.505	9.848	3.691	1.72	3.854	5.9	0.397	1.647	11.514	1.937	8.3	2.272	3.809	3.284	3.334	3.177	5.965	2.794	4.051	5.09	7.715	9.349	3.377	5.85	3.897	10.403	3.353	1.686	1.941	2.868	6.545	5.363	7.404	2.262	11.009	2.855	4.826	2.224	5.704	10.25	4.183	5.305	1.582	4.939	0.435	1.898	9.617	6.135	0.118	3.762	6.914	1.961	3.726	6.081	7.653	4.781	2.896	4.062	4.837	7.23	7.184	1.22	5.152	1.958	1.046	3.85	4.28	3.473	2.049	2.383	2.468	4.309	1.717	7.247	6.427	5.069	3.851	4.732	4.561	2.373	5.61	3.012	2.566	0.534	3.511	5.321	6.056	2.228	8.707	2.335	2.241	12.372	4.969	5.137	6.322	6.179	1.107	3.686	2.592	2.816	3.37	5.329	2.565	4.412	6.44	1.357	1.885	5.671	2.85	2.801	7.962	10.922	16.553	6.162	4.961	5.909	2.401	3.33	4.681	7.623	7.071	1.804	2.584	8.111	22.981	4.701	10.364	8.674	1.435	16.579	12.815	9.712
DLAT	21.309	5.918	64.053	1.386	18.389	28.738	21.904	33.929	26.548	35.339	18.605	16.803	24.245	13.163	4.496	15.872	10.457	34.247	49.54	18.346	6.709	21.394	22.859	23.315	19.42	31.534	27.777	17.378	15.6	28.826	23.083	32.899	19.044	31.447	22.505	29.739	20.634	21.985	22.994	31.342	20.698	18.21	22.938	29.428	25.877	23.635	13.648	34.106	22.474	26.241	24.741	24.303	4.481	25.593	11.394	26.794	23.871	22.912	19.837	14.075	13.822	16.381	15.825	19.432	20.564	20.54	20.536	36.569	22.434	16.271	16.781	18.068	20.864	20.858	16.941	17.935	26.366	21.761	25.522	26.718	23.07	25.776	25.448	21.134	36.013	24.744	23.148	14.896	11.633	25.715	22.791	25.139	21.017	20.753	19.792	11.534	40.237	11.739	24.265	23.971	36.318	28.927	17.044	19.078	33.573	19.763	28.652	22.618	24.31	33.394	18.559	27.479	21.235	37.967	34.577	20.061	28.994	32.556	34.104	33.178	25.37	11.939	33.537	28.982	15.075	19.075	38.472	21.083	21.95	12.036	18.466	13.207	29.415	37.834	28.736	12.666	17.593	19.259	23.51	13.292
PIH1D2	0.158	0	0	0	3.612	8.228	0	18.687	1.094	5.049	0	0	0	0	0	0	0.309	0	0	0	0	1.083	0	0	0	0	0	0	0	0	0.325	0	0	0	1.184	0	0	2.192	0	0.755	0	0	2.014	0	0	0	0	0	0	1.271	0	0	0	0	0	0.764	0	0.502	0	0	0	0	0	0	0	1.127	0	1.02	0.239	0	0	0	0	0.67	0	0	0.279	0.094	0	1.694	0	0	0	2.239	0	0	0	0	0	0	0	0	0	1.709	0	0	0.593	1.673	0.695	0	0	0.841	0	0	0	0	0.759	0.236	0	0	0	3.519	0	0	0	0.322	0.735	0	0	0	0	0	0	0	0	0	0.537	0	0	0	1.634	0	0	0	0	0	0	0	1.488	0
NKAPD1	21.084	48.301	46.114	50.247	16.898	25.394	21.196	36.109	59.8	58.154	26.217	26.129	27.475	37.704	35.731	35.888	27.265	10.794	41.245	47.348	24.835	26.274	29.352	37.242	23.784	36.503	18.935	29.716	38.05	53.277	28.629	48.066	40.895	31.802	34.38	22.502	33.86	23.089	34.963	34.744	56.645	27.16	38.649	30.577	50.091	29.553	41.126	35.619	25.643	28.259	29.162	18.291	17.819	17.882	48.753	26.514	37.028	26.478	46.082	23.05	34.309	18.828	30.701	24.391	33.855	38.988	24.39	38.482	27.094	30.238	35.851	18.201	29.218	20.967	39.057	19.352	34.789	18.996	36.121	34.48	21.997	32.838	32.714	25.03	41.907	31.455	42.988	20.165	40.25	30.601	21.317	30.865	22.006	31.47	28.865	32.141	31.397	25.858	35.959	28.853	39.551	41.022	35.703	19.347	32.094	44.354	27.802	28.683	23.237	24.148	19.494	18.624	25	13.533	24.447	35.378	28.132	29.583	24.275	35.361	37.557	14.736	30.563	20.162	22.023	32.838	24.314	16.017	28.829	13.622	18.004	38.092	39.454	25.082	21.065	12.825	40.342	30.005	55.811	22.413
TIMM8B	70.159	146.064	61.174	256.039	72.131	46.105	111.339	195.043	158.461	129.9	180.48	173.096	97.438	22.963	29.393	139.655	114.879	119.06	13.459	139.084	138.982	68.287	120.354	115.368	90.809	106.726	107.745	92.383	97.966	82.205	103.22	99.257	126.763	153.888	127.498	100.16	183.703	100.65	94.768	68.309	52.584	89.761	94.867	104.174	127.76	86.921	129.674	100.409	158.94	118.435	112.387	122.848	186.406	71.518	108.616	131.674	127.714	92.161	172.516	87.292	148.736	57.428	122.389	91.055	102.701	83.666	76.911	82.791	144.616	106.422	79.074	65.674	64.987	166.078	138.703	89.479	54.621	108.354	90.674	97.402	89.999	109.707	65.159	85.528	162.788	75.485	103.789	58.547	59.426	117.532	103.993	120.705	61.085	85.13	98.596	105.431	137.561	106.859	105.094	93.162	97.266	87.211	58.157	82.228	89.449	85.246	83.299	107.494	47.214	196.236	73.232	91.453	80.471	86.83	112.408	155.631	104.009	121.261	67.212	117.672	165.513	73.709	104.59	95.864	59.216	74.551	56.701	106.871	95.03	176.213	75.426	96.029	91.669	82.211	69.926	132.503	51.556	192.327	189.473	171.204
IL18	16.234	34.949	0	0	13.801	30.585	1.864	24.877	5.666	4.951	28.981	1.688	0	16.556	35.817	5.02	3.495	25.327	22.767	15.068	9.098	12.673	21.841	8.327	12.586	6.923	2.641	12.846	18.306	19.881	9.251	20.024	14.179	11.38	14.318	10.298	7.572	13.185	15.949	8.129	13.047	8.966	10.618	8.44	16.393	3.724	20.349	19.303	5.13	30.104	17.695	18.046	7.371	13.665	28.359	42.603	6.868	17.282	25.996	15.555	27.969	4.517	10.99	34.361	13.773	16.121	20.771	19.087	19.777	9.594	19.991	16.305	13.639	16.252	9.686	12.392	14.843	5.056	13.7	20.412	7.571	31.59	16.758	12.197	20.176	18.052	9.521	10.174	12.647	16.989	13.273	11.445	17.217	11.833	31.924	17.706	17.864	15.357	23.968	16.57	32.028	20.365	4.753	22.439	17.746	13.652	19.461	30.35	37.095	7.864	11.553	11.179	13.52	13.591	16.828	22.005	30.918	10.579	11.516	15.487	11.252	30.448	13.832	16.336	11.157	21.563	16.266	13.207	24.822	8.328	20.675	10.581	33.854	13.179	26.322	20.373	4.382	4.329	13.041	11.367
TEX12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTS	0.25	15.158	0	0.428	9.069	6.503	0.939	18.799	0	0	8.073	5.102	36.672	0	26.372	9.351	18.341	2.835	0	4.067	2.716	5.014	1.673	3.29	1.794	3.488	3.844	2.413	1.59	7.593	3.787	8.406	3.532	2.402	6.553	3.366	2.039	4.717	2.856	6.693	0	3.388	5.667	0.945	4.952	2.918	4.735	5.034	4.594	3.417	2.084	0.862	3.276	3.003	8.871	4	6.408	3.33	2.728	7.063	7.981	4.668	5.066	5.927	7.627	6.768	5.398	7.66	5.567	9.635	23.343	6.845	5.533	5.829	6.568	4.688	1.875	1.564	1.461	7.565	1.688	4.336	6.802	2.529	5.058	2.792	2.936	1.091	13.9	11.887	3.563	1.813	8.507	3.656	0.951	2.202	3.984	3.306	8.639	1.223	6.818	5.985	1.14	4.545	1.321	2.067	4.048	7.187	3.151	7.074	2.198	3.65	5.116	0.172	6.296	6.817	2.325	6.852	11.142	4.089	4.786	1.748	4.433	3.831	1.632	2.461	3.732	8.999	5.234	7.618	0	4.204	0	5.14	1.671	18.816	3.459	0.485	0.362	0.357
