Gene.symbol	HCC001	HCC002	HCC003	HCC004	HCC005	HCC006	HCC007	HCC008	HCC009	HCC010	HCC011	HCC012	HCC013	HCC014	HCC015	HCC016	HCC017	HCC018	HCC019	HCC020	HCC021	HCC022	HCC023	HCC024	HCC025	HCC026	HCC027	HCC028	HCC029	HCC030	HCC031	HCC032	HCC033	HCC034	HCC035	HCC036	HCC037	HCC038	HCC039	HCC040	HCC041	HCC042	HCC043	HCC044	HCC045	HCC046	HCC047	HCC048	HCC049	HCC050	HCC051	HCC052	HCC053	HCC054	HCC055	HCC056	HCC057	HCC058	HCC059	HCC060	HCC061	HCC062	HCC063	HCC064	HCC065	HCC066	HCC067	HCC068	HCC069	HCC070	HCC071	HCC072	HCC073	HCC074	HCC075	HCC076	HCC077	HCC078	HCC079	HCC080	HCC081	HCC082	HCC083	HCC084	HCC085	HCC086	HCC087	HCC088	HCC089	HCC090	HCC091	HCC092	HCC093	HCC094	HCC095	HCC096	HCC097	HCC098	HCC099	HCC100	HCC101	HCC102	HCC103	HCC104	HCC105	HCC106	HCC107	HCC108	HCC109	HCC110	HCC111	HCC112
AC073842.2	9.239	11.654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.645	0	0	0	4.492	0	4.517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.569	0	0	0	0	0	0	0
AP5Z1	1.529	2.779	6.278	9.444	9.108	7.967	5.918	4.205	27.209	15.288	4.862	9	5.104	3.731	8.897	10.405	13.305	4.541	4.476	13.291	7.757	4.433	0.159	7.734	6.189	7.239	5.631	2.114	3.515	6.22	6.018	8.708	8.591	11.453	8.732	7.776	8.768	12.518	5.894	2.58	3.286	7.585	3.926	10.05	9.07	6.176	9.886	9.984	11.495	11.881	15.318	15.407	8.685	6.373	6.485	6.364	5.006	4.079	2.165	10.065	5.549	17.071	1.085	5.866	2.314	6.748	8.709	8.367	5.39	13.29	1.992	6.201	9.665	10.961	3.254	4.324	3.456	6.639	3.978	3.532	5.462	8.492	8.728	2.839	7.405	5.411	1.619	5.183	8.344	4.898	6.014	11.336	3.444	8.756	4.829	6.21	10.41	12.229	1.703	6.048	1.192	4.741	2.708	3.221	7.573	5.429	10.045	6.4	13.832	13.856	11.062	21.54
SOX2-OT	0	0	0.03	0	0	0	0.009	0	0	0	0	0	0	0.315	0	0	0	0.046	0	3.361	0	0	0	0	0.017	0	0	0.051	0.29	0	0	0.014	0	0	0	0	0	0	0.299	0	0	0.009	0	0.198	0	0.015	0.919	0	0	0	0	0.007	0	0	0	0	0.852	0	0.027	0.053	0	0	0.024	0	0	0	0.073	0	0	0	0	0.347	0	0	0.159	0	0.19	0	0.13	0	0.02	0	0	0	0	0	0	0.269	0	0	0	0	0	0	0.112	0	0	0	0.063	0	0	0	0	0	0.009	0	0	0.009	0.105	0	0.019	0
AC092691.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC068756.1	0	0	0	0	0	0	0	124.845	0	5.931	0	0	0	0	0	85.52	0	0	0	0	0	0	0	18.34	2.744	0	0	0	35.353	24.22	19.288	0	0	19.626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.886	0	0	0	0	0	0	0	0	15.072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1	0	24.041	0	0	8.871	0	0	0	0	0	24.233	0	0	53.811	0	0	0	0	0	3.943	0	0	0	0	0	0	0	0	0	8.202	0	0	0
ZNF709	0	0	0	0	0	0	0	3.847	0	0	0	0	0	0.125	0	0	0	0	0	0.514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162	0	0	0	0	0	0
AL591895.1	28.203	0	0	0	0	5.626	0	0	54.704	0	0	0	0	26.598	0	0	0	0	0	13.501	39.489	0	0	0	0	0	3.197	0	0	0	0	0	3.474	1.196	0	0	0	0	2.807	0	0	0	0	28.437	0	0	0	112.824	4.622	9.976	29.616	0	2.265	3.455	12.129	12.888	0	31.206	0	0	0	0	0	0	0	3.7	13.235	0	0	0	0	0	0	0	0	0	23.597	0	0	10.026	0	6.945	5.168	0	0	0	8.493	1.289	0	2.954	2.001	1.04	0	34.668	0	11.202	0	9.705	11.415	0	0	3.877	0	0	3.322	0	0	0.784	13.298	0	40.613	0
STRC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC046136.1	2.833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.732	0	0	0	0	0	0	0	3.028	0	0	0	0	0	0	0.782	0	0	0	0	0	0	0	0	46.906	0	0	0	0	0.431	0.868	0	0	0	0	0	0	0	7.836	0	0	0	0	0	0	0	0	3.241	0	0	0	0	2.171	0	0	1.046	0	0	0	0	9.819	19.389	0	0	0	0	0	0	0.842	18.082	12.536	0	0	0	0	13.344	0	0	11.406	0	1.821	0	1.899	0	0	0	8.09	0	3.07	0	0	35.23	0
