Gene.symbol	HCC001	HCC002	HCC003	HCC004	HCC005	HCC006	HCC007	HCC008	HCC009	HCC010	HCC011	HCC012	HCC013	HCC014	HCC015	HCC016	HCC017	HCC018	HCC019	HCC020	HCC021	HCC022	HCC023	HCC024	HCC025	HCC026	HCC027	HCC028	HCC029	HCC030	HCC031	HCC032	HCC033	HCC034	HCC035	HCC036	HCC037	HCC038	HCC039	HCC040	HCC041	HCC042	HCC043	HCC044	HCC045	HCC046	HCC047	HCC048	HCC049	HCC050	HCC051	HCC052	HCC053	HCC054	HCC055	HCC056	HCC057	HCC058	HCC059	HCC060	HCC061	HCC062	HCC063	HCC064	HCC065	HCC066	HCC067	HCC068	HCC069	HCC070	HCC071	HCC072	HCC073	HCC074	HCC075	HCC076	HCC077	HCC078	HCC079	HCC080	HCC081	HCC082	HCC083	HCC084	HCC085	HCC086	HCC087	HCC088	HCC089	HCC090	HCC091	HCC092	HCC093	HCC094	HCC095	HCC096	HCC097	HCC098	HCC099	HCC100	HCC101	HCC102	HCC103	HCC104	HCC105	HCC106	HCC107	HCC108	HCC109	HCC110	HCC111	HCC112
DAB2IP	0.496	3.433	18.522	5.339	11.465	14.551	7.382	6.609	6.637	6.024	7.497	11.537	7.954	1.56	5.746	12.43	11.008	5.703	3.395	8.494	15.188	10.134	20.468	11.511	5.875	7.901	7.984	3.3	12.6	8.074	9.634	8.407	5.21	13.227	1.78	6.319	9.528	2.888	6.492	7.426	2.834	10.665	6.917	8.218	6.125	20.127	7.999	21.509	17.071	13.414	9.77	19.842	9.501	8.827	10.729	10.961	27.633	5.858	3.888	5.185	6.807	6.543	2.828	9.463	10.814	12.485	9.967	3.516	5.871	6.8	3.861	5.387	13.469	10.21	8.185	9.226	12.116	6.879	2.477	5.097	2.831	7.216	12.462	1.893	7.629	3.654	3.756	12.828	13.727	3.21	13.774	14.156	5.252	8.881	6.312	1.602	12.066	17.466	2.873	8.115	6.178	6.948	11.923	3.229	11.083	6.816	12.712	5.499	7.074	13.688	11.835	11.414
STXBP1	3.061	8.605	10.538	2.732	5.534	5.849	13.148	2.165	6.753	11.986	4.405	11.321	4.141	2.507	12.604	13.099	4.61	7.587	7.105	10.276	9.434	8.364	11.389	4.675	4.777	10.057	8.071	5.739	11.346	8.696	7.516	3.419	1.29	11.014	5.2	2.607	6.389	5.162	6.183	8.051	4.047	11.127	12.011	3.556	5.538	16.389	9.276	24.568	19.932	9.358	9.036	6.602	12.721	10.327	12.294	5.763	19.088	7.843	7.756	2.705	2.946	16.495	6.399	10.434	7.379	3.984	10.196	4.534	6.924	6.086	7.902	14.318	11.307	5.278	5.888	3.819	12.791	13.459	1.59	2.916	2.894	5.995	6.907	3.878	5.147	12.428	3.595	8.902	7.751	5.21	8.285	9.344	8.159	8.487	5.615	6.186	19.732	9.333	4.62	2.657	3.31	7.09	14.941	3.181	11.44	5.652	10.532	6.344	4.208	5.288	10.06	5.503
SLC2A8	0.769	0.509	7.254	5.257	4.44	2.658	7.79	2.76	8.308	3.53	20.076	21.466	9.497	2.9	4.586	4.631	2.86	1.68	2.854	5.532	7.91	9.476	19.363	3.898	0.141	14.162	0.425	4.382	4.145	5.094	0	8.503	2.462	1.696	3.924	3.569	5.826	0	6.88	0.356	1.975	5.168	0	0	2.904	29.767	2.237	0.736	4.095	6.776	13.519	9.01	14.149	3.367	2.364	2.383	1.098	5.317	0.661	0	3.295	5.406	3.286	6.906	5.54	7.539	7.182	2.87	4.396	10.533	0	9.719	0	5.418	1.561	1.155	4.878	0	4.84	5.774	1.315	2	17.054	5.309	4.052	7.875	0.903	4.568	1.321	5.234	1.419	6.081	3.099	9.79	3.44	3.225	10.77	9.544	0.91	4.035	6.88	2.319	8.72	0.971	0.809	2.587	12.163	2.708	6.171	0.98	4.421	14.523
ANGPTL2	0.194	1.543	4.029	1.487	0.115	2.349	5.847	0	5.34	1.168	0	0	0	0	14.439	2.154	5.5	0	2.204	1.208	1.69	7.396	0	3.937	0	0	2.002	0.415	4.318	0	1.499	1.393	1.243	2.997	2.035	2.472	0.098	0	5.442	0	0	2.503	2.586	0.402	2.053	3.774	0.156	0	6.204	3.809	4.436	5.003	8.413	5.874	8.249	0	0	1.074	0	6.519	1.109	1.877	0	3.304	7.993	0.993	2.221	1.338	2.297	5.642	0	8.181	6.229	8.283	7.598	1.426	1.971	4.828	0.925	1.794	0	0.155	3.352	0	3.069	0	0.304	0	1.716	0.529	0.716	3.257	0.489	0.194	3.658	0	4.855	6.513	0.204	0	5.148	1.041	0.078	0.981	2.824	0	0	0.21	0.283	4.074	2.959	1.717
CDK5RAP2	54.525	51.846	42.351	30.071	47.691	51.958	37.707	27.714	59.012	40.337	55.246	51.786	23.405	37.578	43.832	33.645	35.347	50.623	40.033	51.797	46.412	31.445	30.447	31.058	37.239	62.291	34.378	32.765	29.127	39.314	40.003	50.193	43.255	46.253	46.45	50.382	44.348	43.859	36.821	36.878	27.114	35.398	45.727	32.114	57.266	33.391	52.172	48.629	47.578	39.653	31.141	41.907	41.353	23.559	46.104	60.34	37.958	33.066	41.383	54.742	37.065	45.094	35.175	33.496	49.266	31.615	32.956	21.683	41.879	40.113	27.259	39.195	58.456	59.517	50.496	29.813	51.813	38.652	30.28	34.556	46.713	50.651	54.146	39.133	35.132	56.629	30.083	39.519	43.135	42.221	35.378	33.641	42.839	43.797	41.983	45.972	46.581	43.222	29.083	29.553	39.29	28.544	26.643	55.107	40.572	36.39	46.114	34.58	43.352	43.425	31.648	52.981
ZFP37	1.426	0	1.495	1.04	0.282	0.514	0	0	7.743	0	0.73	0	0	1.345	3.085	0	5.645	1.731	0.208	3.327	1.411	0	0	0	0	4.54	2.976	1.27	1.522	3.149	0.688	0.923	0.444	0.262	0.328	1.702	0.78	2.153	3.382	0	0	4.158	0	0.246	0.18	6.622	0	6.331	0.036	0.401	0	3.746	0	1.514	0.266	0.031	0	0.131	1.09	0	1.901	0	0.717	0	0.612	1.925	0	0.682	2.436	0	0	2.913	0	0	2.018	0.952	1.379	0	0.809	1.739	0.915	3.328	1.91	0.375	0	0	0.093	0.635	0.35	0.485	1.589	1.481	1.437	0	2.127	1.38	5.117	0	0	0	1.68	0.053	0	0.982	0.637	0.727	1.841	0	3.538	3.384	3.019	0.637
SLC31A2	13.266	9.051	4.741	18.306	10.18	9.513	33.856	0	3.653	23.865	8.892	9.923	0	5.687	21.368	7.455	33.135	9.369	8.426	24.158	10.738	2.928	5.595	4.849	9.273	3.086	6.886	6.659	7.112	15.592	5.238	4.146	49.245	23.44	20.296	6.238	14.623	17.989	9.622	21.208	8.493	26.322	20.304	20.801	10.706	4.396	22.744	20.682	25.237	9.428	14.496	7.687	13.381	14.886	4.383	14.096	1.722	4.671	15.899	26.998	11.027	12.455	6.367	4.561	46.555	11.313	9.197	6.235	8.798	6.008	27.911	7.854	17.897	7.351	0.891	1.611	6.559	14.294	14.57	8.593	7.996	15.202	6.464	7.853	6.356	24.707	3.305	9.316	13.175	5.953	33.935	38.012	3.191	9.787	24.854	16.736	16.336	15.646	2.062	2.454	7.861	15.357	7.505	10.524	32.896	17.958	9.15	11.437	18.217	19.795	18.788	22.701
SLC31A1	3.387	2.6	8.058	15.384	6.629	1.846	6.625	0.759	9.837	7.273	7.148	15.374	1.18	5.138	10.023	4.808	15.93	12.87	6.688	16.724	13.518	0	6.507	4.428	6.577	14.97	4.774	5.665	2.382	5.331	5.97	4.666	22.636	1.056	7.881	12.108	10.713	18.222	13.653	6.269	12.781	8.896	3.977	9.55	7.343	34.113	2.895	18.511	7.261	2.438	4.763	12.635	24.18	18.176	10.126	0.989	7.358	9.776	10.297	4.285	6.395	20.191	1.925	7.797	11.975	5.902	10.892	4.229	14.284	9.17	15.262	6.769	8.623	16.492	6.089	0	9.076	5.951	14.733	4.764	4.283	6.6	2.894	3.022	6.403	11.784	2.652	7.087	11.785	3.709	10.053	7.976	0	5.221	7.561	1.521	6.205	12.384	2.324	14.068	3.319	6.908	13.421	4.464	17.419	7.809	7.892	9.203	8.467	11.787	8.113	20.202
TLR4	7.338	11.25	17.532	18.451	21.261	13.351	43.719	27.583	7.768	24.026	26.738	17.264	27.462	5.633	24.149	15.996	27.627	25.963	16.991	25.002	33.314	26.729	34.485	30.708	27.242	36.715	19.949	10.943	14.646	24.159	22.146	23.805	19.311	25.751	29.441	22.754	9.944	26.322	33.313	10.898	13.361	27.953	15.744	21.918	20.414	15.666	15.978	5.771	32.257	17.613	19.211	24.234	32.328	20.656	17.683	26.124	59.932	24.862	20.475	12.861	17.748	16.199	17.276	20.223	27.287	20.519	13.057	20.062	29.654	28.293	22.594	23.884	18.115	16.122	16.34	9.308	22.068	13.44	17.074	20.987	15.768	21.852	29.267	11	15.14	19.046	5.612	33.496	17.986	13.09	21.989	30.35	15.652	29.344	29.903	12.483	23.366	21.579	8.41	36.775	9.025	29.685	30.307	11.574	26.415	20.932	11.607	11.57	16.023	20.225	25.086	20.135
ZNF189	23.971	16.116	34.719	43.545	15.762	58.647	14.718	5.587	42.274	34.744	20.606	50.25	11.601	17.629	28.24	29.072	26.497	27.763	9.219	34.215	23.496	23.329	11.272	39.214	11.433	58.516	26.896	16.609	39.723	34.687	33.114	28.398	19.368	60.386	26.695	22.866	18.332	16.62	54.721	20.354	9.041	37.102	17.983	29.434	41.87	15.676	1.588	30.03	35.745	23.596	23.952	37.801	22.103	38.878	23.607	5.567	41.128	45.503	16.386	49.722	23.626	14.497	9.51	24.952	34.636	14.253	17.274	15.158	19.251	34.512	53.243	24.938	33.34	17.258	47.744	13.659	25.196	26.834	20.955	27.272	29.727	30.096	24.227	11.456	15.937	11.826	8.609	33.582	28.505	15.421	45.649	44.593	23.051	33.824	45.994	12.633	8.555	27.448	6.827	24.779	13.509	20.142	0.618	24.746	35.864	12.47	11.502	24.867	34.407	35.205	37.935	31.938
ALDOB	3.837	0	1.81	11.124	10.342	1.659	32.601	26.561	0	2.551	0	5.59	0.641	2.533	7.27	4.318	5.601	6.707	8.378	2.537	1.974	4.73	6.104	17.173	1.405	1.964	3.958	1.367	6.078	4.837	11.235	4.703	1.126	0	2.329	7.532	6.397	1.781	6.454	1.243	4.017	5.795	4.827	0	4.131	0	0.77	7.713	0.759	4.47	0	4.366	4.608	10.542	4.505	12.835	7.121	14.011	13.636	16.106	9.429	39.123	17.365	7.256	3.95	8.181	10.242	0.661	1.513	0.319	0	6.174	1.539	0.877	15.868	5.125	0.139	0.298	3.134	4.286	0.821	0	10.511	0	7.457	12.406	1.502	0.684	4.898	2.743	22.745	0	5.028	9.294	4.157	0.124	5.953	19.483	2.423	4.932	2.798	1.029	42.059	0	8.373	0.783	0	6.03	1.624	0	4.156	2.313
STX17	32.333	36.564	19.836	12.807	23.775	42.614	17.589	13.605	31.035	32.174	22.9	41.808	19.888	31.394	24.476	36.355	24.023	38.205	29.074	22.055	25.967	33.197	56.303	36.977	26.242	39.012	39.664	19.632	31.024	30.065	22.241	15.425	20.063	24.063	23.552	21.377	38.303	48.571	41.35	49.458	12.975	44.825	23.986	39.119	37.425	29.622	23.199	28.204	34.761	38.281	34.932	48.599	39.709	33.358	32.949	19.542	11.824	32.427	21.727	41.538	23.482	26.599	23.065	35.691	19.675	39.525	12.632	38.059	21.48	39.279	41.839	48.204	23.253	33.129	34.814	17.765	46.892	20.178	36.424	22.574	36.383	38.369	45.812	12.445	16.369	24.677	21.948	31.799	26.51	29.712	49.666	48.712	16.775	30.384	37.138	33.513	24.562	30.923	12.655	28.728	24.144	17.221	32.038	18.434	43.17	21.117	24.992	19.046	20.317	17.428	29.562	50.189
PRPF4	14.209	26.937	28.915	27.432	26.363	41.365	59.437	26.543	24.087	58.617	49.43	37.769	24.417	16.159	41.642	37.295	23.204	33.685	24.637	31.048	27.782	6.868	29.546	35.653	22.799	45.621	19.552	11.315	37.04	31.879	26.758	16.864	23.087	33.413	21.33	32.258	35.683	28.259	25.232	35.972	24.102	26.248	35.721	60.476	10.893	40.148	49.972	26.401	26.268	36.577	39.379	27.497	35.021	13.479	43.11	33.896	6.861	32.369	33.296	35.317	28.18	22.407	8.406	34.773	19.359	44.548	42.068	16.324	21.918	34.354	25.957	29.619	30.506	32.477	30.552	29.167	17.577	8.607	11.804	11.106	20.201	29.266	17.172	9.236	18.722	37.324	9.653	33.772	27.906	17.925	31.037	28.147	38.33	24.939	25.69	14.026	39.577	30.006	6.817	25.872	17.269	23.34	14.682	21.785	35.438	18.157	43.11	26.422	31.778	45.98	43.869	55.654
FPGS	9.027	3.391	16.429	35.613	8.418	13.697	3.142	0.849	14.591	26.086	4.543	16.269	14.491	5.977	13.477	18.205	12.532	7.087	5.535	20.02	9.272	21.377	4.243	10.878	11.251	7.731	16.131	6.431	20.193	9.684	16.066	19.518	27.37	15.037	21.618	17.422	29.012	14.684	13.169	17.153	5.556	17.474	9.949	15.039	20.967	13.192	16.26	4.351	20.928	20.665	15.161	51.071	24.868	21.565	9.986	9.673	23.854	28.476	9.687	39.124	14.487	18.569	3.67	13.619	14.827	13.757	40.862	12.576	8.179	13.077	41.484	13.244	21.26	11.413	4.964	11.416	16.851	2.687	8.758	6.065	11.83	12.296	33.853	6.518	11.64	9.099	8.722	13.58	15.181	9.676	12.491	8.47	6.291	20.62	14.384	6.694	19.922	30.672	4.952	16.621	8.912	6.092	10.795	7.145	25.66	9.088	24.741	11.726	32.795	22.685	16.436	26.502
USP20	12.034	13.643	16.772	44.131	13.77	13.417	17.541	4.682	25.077	26.237	24.156	30.102	25.292	19.473	9.595	17.557	19.176	18.591	10.749	29.041	12.554	9.807	14.985	25.627	7.51	15.767	14.004	10.62	13.364	21.923	22.263	21.99	12.189	5.429	16.524	14.291	29.431	19.641	22.055	9.998	32.118	17.58	15.179	31.132	13.689	36.242	10.809	43.542	11.654	27.709	17.126	26.729	19.848	15.572	7.11	8.194	12.884	14.374	11.757	11.938	16.41	11.779	3.988	18.618	16.188	18.891	30.554	15.395	14.343	14.534	30.186	23.05	19.963	12.606	19.994	17.535	9.718	0.957	3.63	11.586	16.262	5.691	20.928	6.584	16.036	37.995	8.458	13.975	19.47	13.313	21.762	38.478	19.226	18.711	16.232	17.21	14.185	20.676	7.555	16.989	14.746	14.541	25.255	14.194	37.063	10.32	14.658	13.832	36.482	15.742	21.138	37.446
BAAT	0.891	0	8.127	0	2.903	0	23.027	1.558	0	0	0	2.224	3.421	0.21	0.938	0.918	1.084	1.514	1.556	0.347	8.286	0	0	4.673	0	0	0	0	0.751	0	5.447	0	0	0	0.246	1.182	1.913	0	0	8.866	0	1.641	3.462	0	1.431	0	0	16.418	0	4.439	0	2.565	0	1.419	0.747	0	0	0.493	0	7.73	1.782	10.573	0.448	0	0	0	2.888	0	0.176	0	0	0	0	0	0	0	0	0	11.068	0.172	0	4.992	0	0	1.614	1.426	0.174	0	0.766	3.185	0.103	2.883	0	9.122	3.043	3.163	6.499	3.588	0.234	0	5.513	0	1.61	7.776	0	0.636	0	0	0	0.735	1.43	0
KIF12	0	0	3.128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.161	1.574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V1G1	301.987	269.7	390.08	391.44	262.145	458.341	326.746	406.625	353.896	315.414	416.774	384.554	392.857	280.981	434.772	337.457	484.29	342.142	324.38	441.489	392.831	260.171	315.955	425.981	242.737	425.494	484.202	307.075	410.188	449.148	392.75	326.83	604.301	355.668	445.93	239.386	458.587	394.002	406.659	331.17	288.716	429.412	286.199	301.138	267.061	371.509	324.29	493.194	459.067	455.789	486.395	381.585	405.503	330.319	312.775	348.175	403.039	295.736	364.084	602.852	338.526	433.737	267.039	309.052	273.941	296.989	329.115	281.129	330.782	305.032	144.184	418.435	352.217	355.257	411.397	317.598	377.559	246.845	364.216	290.535	433.081	403.734	338.304	257.982	307.572	418.151	214.702	416.279	340.563	310.759	357.857	483.373	326.518	320.386	380.692	268.842	265.494	347.57	175.636	323.69	312.171	269.591	273.619	311.936	336.194	317.427	294.369	369.305	500.854	320.849	339.761	459.767
TEX10	10.294	7.253	7.586	10.067	11.332	11.685	6.108	0.038	11.543	6.782	12.617	4.46	14.58	6.766	5.18	17.437	16.486	6.967	4.631	9.463	12.59	7.146	11.486	8.143	18.349	7.378	12.334	8.297	8.129	3.966	11.374	10.318	6.882	7.51	13.138	8.991	10.769	8.409	7.802	6.351	7.758	7.737	9.31	1.614	12.491	5.087	14.227	4.114	7.88	14.949	11.201	11.288	20.819	7.204	11.22	11.307	4.75	5.752	16.568	2.793	4.04	10.236	5.437	10.421	8.991	4.433	3.568	10.273	9.758	16.404	6.664	11.87	9.258	3.01	9.06	15.972	17.869	14.869	14.72	7.688	7.028	9.07	11.764	6.237	8.425	14.179	8.467	8.34	6.075	8.919	9.065	19.289	11.37	7.736	12.097	12.549	10.063	11.442	3.994	6.415	7.904	8.223	2.421	8.644	10.668	9.629	6.311	9.541	13.324	6.265	14.515	15.852
GARNL3	0.545	1.306	1.42	2.428	0	0	0.753	0	0.434	1.159	0	1.218	0	0.514	0.656	0	0.825	0	0	4.846	2.219	0	0	0.218	0.969	2.656	1.262	0.999	0.105	0.151	0.501	0	0	0.816	0.172	0.041	1.141	0.069	0.201	2.414	0	0.746	0.086	0	1.236	0	0.281	0	3.532	2.65	0.208	0.256	1.687	0.186	0	1.126	0	0	0	2.789	0	5.544	0.783	0	0.561	1.262	0.891	0.447	0.491	1.487	0	0	2.311	0	0.748	0	0.678	0.121	0	0.96	0.799	2.368	0.788	0.307	0.154	3.639	0	0.139	0	0.212	0	0.747	1.256	0.7	0	0	1.118	1.045	0	3.67	0.034	0.139	2.001	0	0.03	0.286	0	0	1.409	0.49	0.583	0.96
MRPL50	31.948	21.206	57.719	29.745	26.439	79.62	90.988	28.448	33.687	46.272	18.168	37.164	52.045	24.574	36.091	66.73	39.037	38.506	28.694	52.526	60.43	60.259	78.492	50.067	23.228	78.531	40.399	24.376	30.695	43.502	17.496	36.167	52.488	53.346	55.758	36.421	37.776	25.836	44.264	34.287	28.377	77.873	26.074	66.045	84.653	12.26	19.274	35.567	31.725	47.163	29.184	19.691	36.496	33.741	67.774	15.86	2.264	40.113	54.805	63.91	39.102	35.25	26.432	15.853	26.123	36.325	26.955	32.017	30.378	48.54	86.588	39.755	41.621	22.096	43.001	56.747	38.611	22.893	45.339	30.891	33.924	33.729	77.314	13.77	33.138	36.845	13.128	44.698	61.853	18.974	34.282	33.562	30.258	50.917	53.685	51.477	42.495	23.921	13.233	47.177	17.824	24.499	18.74	18.315	52.912	29.486	79.373	10.478	28.571	42.182	25.147	33.027
DPM2	24.097	13.83	28.343	52.065	26.406	20.206	6.81	35.489	40.167	32.654	26.799	54.607	37.973	34.998	31.62	51.947	15.517	15.913	34.936	15.746	17.354	36.183	25.342	52.405	13.94	34.855	16.156	34.166	19.002	28.818	24.345	37.167	13.119	8.902	39.356	29.53	25.445	22.365	51.128	47.505	19.631	11.983	24.163	35.328	26.672	24.047	27.46	35.136	36.894	26.003	42.766	41.751	46.425	19.765	36.915	11.951	23.737	28.263	30.386	19.42	13.495	31.135	15.267	3.873	28.526	46.852	38.958	17.164	23.565	59.026	53.003	29.91	1.74	10.465	39.148	3.058	15.727	29.966	19.025	17.076	26.801	28.157	46.35	11.031	25.242	9.565	10.566	21.764	49.928	13.617	59.913	16.519	15.544	23.826	9.989	17.264	32.25	19.512	11.158	13.008	14.59	12.92	83.495	15.937	21.402	11.6	19.606	10.708	43.117	23.406	31.772	39.838
WDR38	0	0	0	0	0	0.235	0	0	0	0	0	0	0	0	0	0	0	0	0	4.658	0	0	0	0	0	0	0.401	0	0.367	0.352	1.051	0	0	0	0.601	0	0	0	0	0	0	0	0	0	0	0	0	0	0.331	0.501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.397	0	0	0	0	0	0	0	0	0	0	0	0	0.815	1.026	0	0	0	0.286	0.233	0	0	0	0	0	0	0	0	0	0.326	0	0
TSTD2	9.766	7.035	18.267	21.579	13.929	7.054	17.631	22.995	13.256	12.206	18.752	12.272	4.119	8.605	16.952	6.477	14.711	6.864	8.418	10.596	13.933	1.824	11.356	9.345	5.74	19.464	13.634	7.965	11.346	5.566	14.388	14.366	7.888	1.417	11.628	15.748	16.231	14.653	6.207	1.368	5.772	8.994	5.468	18.573	25.68	0	13.922	17.548	16.741	5.988	9.229	17.474	8.085	12.996	12.861	6.174	19.079	9.669	14.436	16.109	6.756	13.102	7.625	13.244	14.154	3.945	12.152	9.153	8.006	14.618	26.435	7.975	8.452	12.924	29.797	12.788	20.687	2.796	6.997	7.523	11.104	9.976	7.882	5.883	16.339	8.721	6.942	13.591	24.165	6.912	15.649	22.176	13.146	14.567	14.164	10.948	8.986	15.809	4.733	11.561	6.815	4.076	5.159	3.895	16.579	4.98	6.721	6.592	10.728	6.588	12.303	21.348
GABBR2	0	0	0	0	0	0	0	5.318	0	0	0	0.027	0	0	0	0.125	0	0	0	3.078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026	0	0	0	0	0.452	0.174	0	0	0	0	0.075	0	0	0	0.157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HEMGN	1865.345	1284.172	1150.86	891.983	2089.679	1184.628	474.423	1097.947	563.868	1099.215	549.516	1420.161	794.908	3334.271	758.575	736.608	1182.146	940.493	2790.071	314.013	2309.589	470.701	1007.746	2520.105	336.686	547.581	1252.344	1912.747	1616.415	1782.963	1492.359	865.156	1240.892	936.531	1853.826	795.668	773.843	1137.711	1868.599	2509.69	639.014	1267.042	1156.019	1052.589	1382.52	1419.849	1373.96	1275.913	815.906	595.038	597.198	703.298	763.489	1422.658	2442.857	811.31	745.995	778.482	582.386	2468.726	1250.656	1094.588	548.332	557.883	815.139	734.165	446.828	623.494	668.279	2215.804	1348.117	2346.662	583.076	588.173	1760.995	1390.7	3077.123	536.028	3287.589	582.001	1485.536	1236.186	689.767	569.485	772.031	1223.886	320.74	581.819	2487.864	1455.455	2981.513	608.165	653.316	661.579	991.552	1695.292	810.369	396.423	363.221	616.351	1254.871	730.419	1201.837	2003.408	292.522	980.18	1415.672	1157.636	442.855	737.127	1193.816	427.059
PSMB7	51.965	33.199	73.076	83.886	57.056	75.964	43.199	92.086	84.948	142.19	57.238	103.602	62.344	30.281	110.281	89.199	92.618	76.721	36.529	141.649	61.521	41.976	39.949	100.445	74.556	87.914	53.227	41.238	81.437	61.449	45.129	94.712	48.934	90.616	68.534	61.858	119.956	73.753	89.456	51.419	33.934	93.221	33.922	86.712	55.221	46.13	128.327	92.198	154.827	133.011	156.474	94.74	75.769	45.082	81.964	53.69	202.049	55.628	61.99	111.599	61.804	50.873	46.735	66.31	67.844	70.613	98.908	43.196	69.636	68.757	87.912	86.428	94.21	64.698	69.571	128.1	67.092	38.089	55.783	55.646	29.277	62.213	124.03	38.68	60.119	158.227	34.401	57.737	85.667	60.977	81.85	79.591	52.586	82.28	65.075	38.72	83.932	106.027	29.12	83.078	36.595	38.884	53.94	66.361	110.788	66.354	49.787	55.099	107.656	115.634	101.914	108.447
NR5A1	3.971	4.285	5.551	36.807	6.273	27.558	19.36	3.574	35.98	19.768	4.134	13.272	11.932	0.832	11.456	3.637	6.819	2.357	1.927	12.529	3.317	46.313	16.182	4.474	6.139	9.031	2.763	9.274	42.527	6.988	33.647	9.628	0.353	4.379	1.217	5.15	6.13	5.07	27.686	16.438	7.895	4.47	8.653	19.254	6.251	2.788	6.639	1.549	26.055	4.87	19.708	6.714	11.864	2.108	21.339	3.818	61.417	13.426	21.497	14.816	6.052	15.319	14.865	10.43	10.901	1.317	27.087	0.76	21.923	0	39.45	11.664	20.175	16.305	3.421	9.725	12.959	3.944	0.901	3.399	3.586	8.122	14.714	1.219	8.866	16.667	2.418	6.948	16.79	3.755	15.876	12.056	30.352	7.051	16.939	0.57	0.102	9.672	0.348	11.059	3.315	4.436	0	2.939	0	6.93	48.935	4.703	7.535	16.667	26.433	25.065
TRMO	25.327	4.441	11.411	27.707	14.683	26.552	18.3	3.241	7.824	22.18	14.127	14.683	7.796	9.317	10.588	18.621	22.362	14.653	14.904	17.886	18.623	12.211	22.224	14.319	11.312	30.516	12.176	5.119	27.603	10.683	16.876	12.242	24.257	16.243	23.787	11.53	10.436	18.656	19.288	7.564	22.36	25.607	10.767	31.725	37.66	5.122	16.505	30.948	18.644	22.026	20.63	13.246	5.111	13.303	14.663	10.671	32.567	16.099	11.325	15.079	21.35	16.735	7.948	5.095	10.355	16.237	8.219	7.222	12.75	19.389	26.719	23.397	13.112	12.317	11.275	32.151	10.16	11.727	11.125	14.804	12.294	5.463	16.366	5.671	13.846	33.004	4.641	16.33	13.582	13.697	5.717	23.765	11.405	7.804	14.13	18.086	6.904	28.446	3.024	22.163	11.669	4.414	1.587	11.55	11.415	8.207	12.817	8.825	14.523	3.393	11.77	26.087
RABEPK	8.435	5.096	19.687	20.885	12.623	13.816	22.203	2.942	15.993	13.705	0.205	12.217	8.745	6.49	17.134	22.519	17.916	6.036	7.173	22.967	11.244	20.895	7.651	13.349	7.802	0.909	13.902	7.117	17.654	11.623	8.285	9.024	11.612	11.75	14.453	6.006	12.112	25.213	8.807	3.082	7.267	17.499	2.053	13.094	17.275	6.977	12.292	0	27.635	17.081	12.319	19.352	13.734	13.081	26.808	0.803	38.663	20.878	7.38	0	7.104	22.438	4.465	11.544	14.168	17.037	22.176	6.885	8.578	3.318	21.252	8.334	11.752	25.2	6.393	8.302	18.19	0	8.31	6.155	11.205	6.929	13.351	3.679	9.945	16.912	4.171	12.662	5.885	9.219	21.708	15.217	5.146	19.288	17.88	5.301	22.102	6.653	3.037	16.167	1.079	5.752	21.569	10.603	13.597	7.969	18.491	10.506	22.095	6.655	19.176	20.759
GOLGA1	42.646	32.781	35.66	24.219	34.622	25.969	27.19	15.702	16.389	27.958	36.068	22.705	37.856	24.96	24.468	27	14.646	22.656	22.348	19.125	23.725	23.051	20.174	33.33	21.217	28.669	37.982	16.801	37.366	18.974	28.573	20.846	28.32	56.711	30.105	29.611	21.546	22.673	30.562	15.904	11.078	35.67	27.615	20.812	34.969	15.159	11.022	25.332	29.55	14.689	16.23	26.649	32.351	26.17	33.241	32.982	59.808	34.974	12.797	50.401	25.374	31.2	12.866	15.417	32.667	28.452	33.765	16.571	13.651	30.62	64.209	24.41	22.034	24.178	39.828	40.713	19.919	22.714	23.221	21.062	40.027	19.675	13.818	21.978	16.775	17.185	27.498	22.731	28.636	20.751	25.053	19.12	23.387	27.936	22.806	48.979	33.515	23.567	20.789	11.177	33.204	22.192	22.813	34.45	17.671	23.026	20.694	15.588	26.068	32.714	26.4	23.358
