Gene.symbol	GBM01	GBM02	GBM03	GBM04	GBM05	GBM06	GBM07	GBM08	GBM09	GBM10	GBM11	GBM12	GBM13
TALDO1	965.754	381.156	600.112	1653.754	372.856	535.458	0	139.458	420.758	147.958	754.245	358.847	146.541
ULK1	11.694	0	0	4.264	0	0.12	0	0	19.324	0	1.279	0	0
OR14C36	0	0	0	0	0	0	0	0	0	0	0	0	0
RIMKLA	0	0	1.02	4.289	26.079	0	0	1.267	0	0.538	0	0	0
CLVS1	3.61	3.51	0	7.953	0	0.123	0	0.128	0	0	2.632	0	0
OR2M7	0	0	0	58.3	0	0	0	0	0	36.027	0	0	0
RPS6KA3	18.286	5.976	20.462	33.503	8.291	0	103.659	12.132	5.925	11.199	13.721	6.75	9.68
B3GNT8	21.838	45.493	0	2.164	0	0	0	0	0	2.579	0	0	0
PUS1	4.035	15.52	3.463	1.061	1.104	0	0	0.331	0	6.745	0	0	0
CHD9	18.112	36.384	0.185	15.725	15.726	5.306	0.487	0	12.471	9.663	0	7.249	10.673
OR2T12	0	4.535	0	0	0	0	0	0.166	0	0	0	0	0
SPACA4	0	0	0	0	0	0	0	0.975	0	0	0	0	0
OR2T33	0	0	0	15.212	9.192	0	0	0	0	0	0	0	0
GATD1	8.073	0.673	8.037	3.312	16.084	0	0	4.646	5.337	0	5.296	2.027	1.453
LINC01561	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM72	3.559	6.105	0.539	3.101	45.428	0.107	0.946	0	0	1.137	3.433	0.375	2.826
MAN1B1	0.641	0	0.183	0.243	0.76	0	0	0.228	0	0	3.503	0.191	0
DEFB103B	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB4B	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNA3	0	62.043	3.566	0.789	0	0	28.158	4.06	45.783	0	0	6.83	9.35
OR2AJ1	0	0	0	5.413	0	0	0	0.506	0	0	0	0	0
FZD8	1.325	0.92	0	2.012	1.571	0	0	0	0	0	0	0	0
GJD4	5.631	2.346	0	11.549	0	0	0	1.8	0	0	0	0	0
FBXO39	0.61	1.27	0.523	1.39	2.169	0	2.754	0	10.077	0	0	0	2.744
CLDN22	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNA2	0.41	8.531	0.264	0.117	0.364	0	0.462	0	1.692	0.278	1.119	8.261	0
TOP3A	15.936	10.303	1.651	5.636	43.986	0	0	0.293	4.54	0.746	1.502	0	2.473
CASKIN2	0.306	0	1.049	0.348	2.174	0	1.38	0.488	0	0.83	0	0	0
ZBTB38	10.244	18.998	0.214	1.281	49.777	0	0.564	26.361	20.645	0.339	0	20.831	0
BEND2	3.837	203.841	0	89.637	174.737	1.18	1.733	0.204	152.189	190.726	0	63.642	74.246
C8orf31	3.037	15.186	0.521	2.769	0	0.623	0	0	0	0	0	0	0
DLGAP1-AS1	21.132	8.805	0.725	26.97	42.101	0	0	0	0	11.479	0	0	0
LINC00469	0	0	0	0	0	0	0	0	0	0	0	0	0
FLJ13224	32.907	0	0	0	33.448	0.602	0	0.626	0	0	0	0	0
CCDC71	0	0	0.857	0	0	0	4.513	0	0	0	0	0	0
C10orf71	0	0	0.847	0	0	0	0	0.175	0	0	0	0	0
LRRN4CL	2.753	0	0	1.569	19.59	0	0	0.367	0	0	0	0	0
FLJ40194	28.419	7.22	0	4.739	49.319	0	0	0	0	0	0	0	0
TIMM22	5.571	15.087	0	42.532	0	0.286	0	0	18.412	0	0	0	0
HIC1	0.878	0.457	0.188	0.75	0.781	0	0	0.468	0	0	7.198	0	0
PPFIA3	0.276	0.575	1.184	3.143	0	0.141	2.492	0	0	0	0	0	3.723
MAGEF1	0	0	0	0	0	99.802	4.913	0	0	0	23.784	0	0
UMODL1	0.244	1.528	0	1.393	0	0	0	0	0	0	1.337	0	0
AC021054.1	61.999	0	0	1.723	0	0	0	0	0	0	0	0	0
SAMD9L	9.476	0	0	29.838	35.488	0.511	1.127	0.133	0	48.091	0	0	0
ZFAS1	244.331	115.68	236.907	122.937	70.554	271.249	0	90.036	39.328	15.082	0	219.754	10.709
UBE2U	0	24.2	0	8.825	0	0	0	0	0	0	31.755	0	0
PAWR	5.642	14.613	0.262	12.685	17.361	0	0	0	2.52	0	0.834	0	0.686
TGIF1	1.298	3.607	0.371	3.206	6.159	0.333	0	0.231	0	0	0	0.194	0
MIEF2	2.69	0.934	0	1.533	12.759	0	0	0	0	0	0	0	0
NAP1L5	0	0	4.784	0	0	0	0	0	0	0	0	0	0
NIM1K	0.983	41.994	0	0	3.498	0	0	0	0	0	0	0	0
CD19	22.972	2.735	0	3.739	14.01	0	0	0	0	0	0	57.664	0
ERICH5	7.073	0	0	0	0	0	0	0	0	0	0	0.906	0
OR2T8	0	0	0	0	0	0	0	0	0	0	0	0	0
NR2C2	3.01	21.636	0.258	0.343	19.278	16.822	2.04	0.241	0	0	1.646	0	0
GPR4	0	0	0	2.579	34.217	0	0	0	0	0	0	0	0
ACOT4	12.053	20.401	0.646	0	24.12	0.386	0	0	0	0	0	0	0
OLIG3	0	1.809	0.745	1.979	0	0.445	0	0	0	0	0	0	0
CAVIN1	3.254	114.261	0.399	18.009	24.805	0.715	0	77.524	84.495	0	5.082	0	0
OR2G3	0	0	1.642	0	0	0	0	0	0	0	0	0	0
ARIH2	17.09	23.58	0.19	16.945	9.475	16.839	0	0.118	18.339	0	4.853	16.117	0
RBM44	0	4.902	0	8.045	0	0	0	0	0	0	0	0	0
ZBTB33	1.34	84.418	0.287	1.908	0	0	0	0	0	0.91	3.662	0	0
OR2G2	0	0	4.802	0	0	0	0	0	0	5.066	0	0	0
ZBED2	0	0	0	0	0	0	0	0	0	0	0	0	0
VCX2	0	0	0	0	0	0	0	0	0	0	0	0	0
IRX3	0.611	44.567	0.525	6.965	0	0	0	1.303	10.101	0	3.342	0.548	2.75
ST8SIA3	0.147	6.143	0.253	0.168	0	0	1.332	0.393	0	0	1.612	0.264	0
RPRM	0	2.52	0	1.378	12.91	0	0	0	0	0	0	0	0
OR2B11	2.497	1.156	0.476	0.632	0.987	0.142	0	0.296	0	0	3.033	0	0
SLC25A22	0	0	0.329	0	0	45.736	0	0.204	0	0	0	0	0
RABEP2	4.287	4.871	0.334	10.657	0	0	0	0	6.44	0	0	0	0
NHLH2	10.146	15.729	0	3.764	22.665	0.121	0	0	0	0	0	0	0
AL953897.1	0	0	0	0	6.777	0	0	0	0	0	0	0	0
ATOX1	6.793	31.131	0	7.74	2.417	8.88	240.867	197.443	0	21.217	31.565	29.535	13.754
FAM187B	0	0	0	0	0	0	0	0	24.835	0	0	0	0
TBL1XR1	46.772	42.808	49.35	35.822	109.112	1.887	0	9.479	7.603	0	2.515	0.137	15.181
SAMD12	4.86	15.427	0.695	8.306	15.642	0.356	0.523	0.678	1.912	0	1.898	0.207	0.521
CD163	7.04	0	411.357	7.325	0	0	0	0	0	0	165.667	0	0
C18orf32	51.458	22.602	0	20.134	24.262	20.182	0	0	20.491	0	1.695	0	0
PIDD1	0.91	0	0	1.382	1.079	0	0	0	0	0	0	0	0
AL355390.1	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF491	0	0	0	7.356	0	10.229	0	0	0	0	0	0	0
RPLP2	1088.533	591.556	50.768	155.567	339.981	2045.013	2347.552	759.953	75.202	118.656	174.149	696.817	65.526
HASPIN	0	0	3.276	0	0	0.326	0	0	0	1.728	0	0	0
JUN	84.946	1.047	0.863	5.155	1.788	23.964	0	0.268	8.306	0	5.496	0	0
CSTF2T	0	1.806	0.372	1.482	55.514	39.775	0	0	0	0	0	0	0
PGBD5	0.472	1.312	0	1.076	7.84	0	0	0.168	0	0	0	0.141	0
C12orf54	0	2.135	0	0	21.878	0	0	0	0	0	0	0	0
GBA	19.998	5.08	0	1.667	10.411	0	0	0	0	0	0	0	0
CASC2	0	1.108	0.152	2.021	0.631	0	0	0.378	0	0	0	0	0
ACAD9	2.056	6.853	2.47	6.092	1.463	2.53	0	0.438	0	0	0	0	0
IL17RA	80.736	7.794	0.845	8.078	14.011	34.726	0	0.105	0	0.535	2.153	0	0
PNPLA2	30.095	0	0	15.3	0	51.032	0	0	7.651	0	0	0	0
MBOAT4	0	19.612	0	0	0	0	0	0	0	0	0	0	0
TEX44	0	0	0	0	0	0	0	0	0	0	0	0	0
AGTRAP	296.677	109.603	0	91.594	46.793	330.026	6.602	1.168	60.378	0	0	0	72.338
CD163L1	10.32	2.606	0	1.425	66.75	2.886	0	0	0	0	1.71	19.064	0
SRRM3	3.107	9.168	0	2.95	1.842	0.133	0	0	0	0	4.246	0.696	1.165
THAP5	42.681	4.483	0	31.47	19.14	0	0	0	5.927	0	0	0	0
CRACR2B	0	0	0	0	1.618	0	0	0.485	0	0	0	0	0
SUMO4	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB10	2.733	30.367	0	3.115	0	0	0	0	0	0	0	0	0
DNAJC28	0.716	0	0	8.979	0	0	0	1.145	0	0	0	0	0
OR4F4	0	0	0	0	5.905	0	0	0	0	0	0	0	0
NAALADL2	5.367	22.362	21.682	12.232	32.135	0.537	135.418	14.719	0	12.445	17.176	8.685	8.247
CD151	8.585	13.178	0	77.745	19.289	0	0	13.242	97.068	6.136	34.582	80.609	40.663
AC011944.1	0	1.951	0	1.067	19.99	4.321	0	0	0	0	0	0	0
POLR2L	84.137	146.061	153.765	95.874	188.462	100.641	774.199	360.32	51.496	0	281.092	262.603	119.186
FAM20C	0	0	0	0	1.367	0	0	0.41	0	0	0	0	1.73
NECTIN3	0.575	8.991	0	6.23	19.449	0	0	0	0	0	0	0	0
SLC35G5	0	16.836	1.156	12.279	4.792	0	0	0	0	0	0	0	0
ANXA2R	0	0	0	0	0	0	0	141.861	0	0	179.384	0	0
AC105206.1	0	1.562	0	2.563	0	0	0	0	0	0	4.099	0	0
TMEM94	0.201	0	1.552	0	2.86	0.103	0	35.017	0	0.546	0	0.721	0.904
FLII	55.045	33.828	0.236	59.588	0.979	14.674	2.486	8.213	18.193	2.243	1.505	3.208	2.477
SOX12	0.384	6.405	14.511	0	30.078	0	0	9.42	0	2.088	23.111	2.756	6.917
HNRNPA0	7.749	18.691	0.35	2.091	6.529	31.778	2.763	0.109	0	0	2.23	0.183	0
AC025171.1	11.504	1.331	0	34.23	0	0	0	0	0	0	0	0	0
YIPF7	8.833	0	0	0	20.949	0.503	0	0	0	0	0	0	0
FAM87B	0	9.519	0	8.331	0	0	0	0	0	0	0	0	0
MYOZ1	0	0	0.991	2.631	0	0	0	0.615	0	0	0	0	0
TMEM78	0	0	0	2.797	0	0	0	0	0	0	8.945	0	0
KCNJ10	0	0	0	0	1.926	0	0	0.288	0	0.735	0	0	0
AC098864.1	1.603	8.681	0	4.383	2.281	0	0	0.342	0	0	0	0.287	0
CHID1	0.892	17.964	0	0	31.735	28.505	6.716	0	34.397	37.15	43.891	0	6.69
PCDHB9	0	27.706	0.346	0.918	27.242	22.933	0	0	0	0	0	0	0
ZNF620	40.92	27.435	0	1.072	13.386	0	6.374	0	7.773	0	2.571	0	0
ZNF518A	2.614	0.34	0	4.468	54.635	0	0	0	0	0	0	0.146	0
TMEM187	0	1.927	0	0	0	6.637	0	0	0	0	0	0	0
SVBP	142.877	64.438	3.792	90.636	99.563	1.51	0	91.83	97.365	0	8.053	161.102	46.395
ZNF619	0.788	0.821	0	2.246	2.805	0.202	0	0	0	0	4.31	0	0
CCDC184	0	0	0	0	2.702	0.389	0	0	0	0	0	0	0
AP3S1	127.97	50.999	0	52.623	140.537	44.781	0	118.886	18.389	31.735	76.044	8.978	0
GRB2	299.197	110.038	0.324	218.405	73.825	101.158	1.704	43.023	68.585	0	2.063	87.268	0
ZBTB41	2.909	9.957	0.178	0.947	14.047	0	0	0	0	0	0	0.559	0
UBE2N	25.545	18.921	188.282	8.086	116.121	28.228	0	90.895	14.071	0	79.136	65.904	44.7
ARL6IP6	16.47	65.302	0.456	24.822	0	2.179	0	5.379	0	0	0	45.25	0
ZNF354C	0	0.685	0	0	0	0	0	0	0	0	0	0	0
CAPZA3	0	0	0	0	0	1.678	0	0	0	0	8.949	0	0
MAMDC4	0	0.678	0.838	0.371	0	0	0	0	0	0	0	0	0
CENPBD1	20.352	0	0	0	97.227	44.714	2.627	0	0	0	0	0	0
ODF3	0	0	0	0	0	0	0	0	0	0	0	0	0
BET1L	10.12	94.872	0	4.718	4.91	0	0	0	0	0	0	9.073	0
RPS27	6902.436	3781.915	1317.463	885.462	2923.475	12194.752	5645.727	10367.06	653.425	1442.823	2791.367	2461.342	1021.117
RIC8A	85.706	0	0.228	21.838	0	0	0	0.425	26.391	83.859	0	0	0
IMP3	2.775	91.042	2.381	12.647	24.679	0	213.082	1.848	0	0	0	0	0
ASB8	40.053	150.554	0	59.532	61.954	48.655	0	0	0	0	183.268	87.428	0
LCN15	0.616	1.284	0	0.702	0	0	0	0.985	0	0	0	0	0
ODF3B	21.652	0	0.664	0	0	17.442	0	0	0	0	0	0	0
DPY19L2	0.63	7.878	0	1.077	17.939	0	0	0	5.208	0	0	0	0
SPATA31E1	0.397	0.828	0	0	0	0	0	0	0	0	0	0	0
ZNRF3-AS1	9.84	10.249	0	1.869	70.011	0	0	0	0	0	0	23.523	0
C2orf73	0.655	0	0	0	13.984	0	0	0	0	1.779	0	0	0
GPR150	1.723	0	0	0	0	0.442	0	1.837	0	0	0	0	0
TSPYL6	0	0	0.989	0.656	26.64	0.295	0	0	0	0	0	0	0
LRRC75B	0	0	0.446	0	0	0	0	0	0	0	0	0	0
DMAP1	0	0	0	0	0	0	0	0	0	0.863	5.212	0	0
ADAMTSL1	0.261	0.543	0.112	3.861	3.246	0.735	1.177	0.278	0	0	0	0	0
CALHM5	0	0	0.78	6.631	5.823	0	0	0.291	9.016	0	0	0.163	0.818
IMPDH2	116.141	12.03	0	13.892	0	258.221	0	0	0	0	0	0	0
ALS2CL	0.589	2.046	0.337	0	9.785	0.101	0	0	0	0	0	0	0
MLF1	14.458	17.656	0	17.043	10.642	1.789	0	0	16.478	0	5.451	0	0
PRSS42	0	0	0.822	0	0	0	0	0	0	0	0	0	0
NDUFAF3	187.144	586.311	29.485	334.038	293.88	40.849	0	76.738	144.967	671.106	0	1511.939	769.728
C2orf69	0	76.792	0	3.304	0	0	0	0	41.067	0	0	0	1.864
GRAMD1C	7.059	3.321	0	28.024	17.012	0.233	1.029	0	0	0	0	0	0
STAP2	3.86	1.34	0	2.199	6.866	0.33	0	0	0	0	0	0	0
HTR3C	0	0	0	0	0	0	0	0	0	0	0	0	0
TSSK6	0	8.9	0	0	3.8	0	0	0.569	0	0	0	0	0
BOLA1	0	0	0	0	0	0.624	0	0	0	0	0	0	0
PDE4DIP	5.153	3.221	75.842	0.954	4.812	0	0	0	0	0	0	0.058	0
DDX10	4.73	3.427	0	2.109	79.008	0	0	0.219	0	0	0	0	0
AL161668.1	0	0	4.265	0	0	0	0	0	0	0	0	0	0
GOLGA8Q	2.498	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R42	10.281	6.59	0	2.703	14.067	0	0	0	0	0	0	0	0
NDUFV2	10.501	0	3.943	11.218	0	0	56.331	5.596	0	10.696	0	5.296	2.953
FAM27E5	0	0	2.203	0	0	0	0	0	0	0	0	0	0
DALRD3	0	0	0	0	0	0	0	0	15.972	0	0	0	0
ZNF114	8.323	13.623	0	6.774	25.38	0	0	0	0	0	0	0	0
ZNF518B	42.75	0.34	0	1.302	5.805	0	0	0.261	16.178	0	0.892	51.198	0
AMER3	0	0.567	0	0.62	0.967	0	0	0	0	0	1.487	0	0
SPINK6	0	5.057	0	0	0	0	0	0	0	0	0	0	0
ZNF366	0.895	9.325	0.384	9.691	11.147	0	0	0.239	14.795	0	0	0	0
LCORL	4.191	17.214	0.103	8.324	28.971	0.061	0	0.702	0	0	0	0	0
PARD6G	0.421	0	0	0	1.499	0	0	0.224	0	0	2.303	0	0
ZNF454	6.016	25.064	0.574	6.093	2.378	0	0	0	11.046	0	0	0	0
SH2B1	4.234	7.263	0	1.135	1.772	15.703	0	0.265	0	0	1.361	0	0
ZC3H12D	0.264	0	0	2.409	41.367	0.677	0	0.141	0	1.436	0	0	1.189
VN1R1	19.661	3.151	0	4.308	10.761	0	0	0	0	0	0	0	0
KDELC2	1.782	18.56	1.223	3.249	13.946	0.365	0	0.19	0	2.904	1.948	0	0
PLEC	12.986	1.745	0.449	0	0	5.691	0	0.167	0	0.284	1.145	0	0
SH2D4B	0	0	0.666	0	0	0.199	0	1.241	0	0	2.122	0	0
RNF212	3.912	0.741	0	0.811	3.796	0.365	0	0.19	0	0.966	0	0	0
PRSS36	1.449	3.018	0	1.1	5.153	0	0	0	0	0	0	0	0
ZNF543	19.452	18.235	0.417	2.771	19.03	0.499	0	0	0	0	0	0	0
TMEM151B	2.934	0	0	2.6	1.16	0.167	0	0	0	0	0	0	0
GALNT11	6.435	5.362	0	0.978	0.763	0.22	0.969	0	14.179	0	1.173	0	0
SLITRK1	0.343	0	0	3.517	0	0	0	0	0	0.931	0	0	0
C9orf62	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01658	19.169	2.349	0	7.709	80.23	0	0	0	0	0	6.164	0	0
WDR6	5.703	0	0.576	10.321	7.161	17.542	1375.967	0	5.544	0	1.834	0	0
PRM3	0	0	0	0	0	0	0	0	0	0	0	0	0
TNP2	0.996	0	1.71	0	3.544	0	0	0	0	0	0	0	0
SPAG11A	0	0	0	0	19.25	0	0	0	0	0	0	0	0
GEN1	12.337	2.507	0	0.686	40.142	0	0	0.24	12.431	0	0	84.567	0
TMPRSS9	3.7	4.282	0	4.216	2.925	2.951	1.857	0	0	0	0	0	0
AQP11	0.743	1.547	0	3.385	0	0	0	0	0	0	0	0	0
TMEM11	33.339	14.562	0	9.191	1.913	0	0	114.038	8.886	0	0	0	0
ZNF354B	0	8.896	0	1.622	0	0	0	0	0	0	0	0	0
KCNG2	0	0	1.413	0	0	0	0	0	0	0	8.999	0	0
SHISA3	0	0	0	0	3.212	0.463	0	0	0	0	0	0	0
OR2D3	0	0	0	0	0	0	0	0	0	0	0	0	0
CALML3	0	0	0	0	2.291	0	0	0	0	0	0	0	0
CALML5	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFAND2A	28.082	29.251	3.347	0	0	1.6	28.19	2.91	0	10.594	0	137.768	0
PLEKHM3	10.367	19.374	0.262	14.072	6.509	0	0	48.011	0	0	3.334	0	0
ZNF223	0	0	0	0	0	0.274	0	0.57	0	0	0	0	0
HTR1A	0	0	0	0	0	0	0	0	0	0	5.348	0	0
CCDC185	0	1.805	0.743	0	0	0.888	0	0	0	0	0	0	0
FAM220A	5.943	1.548	1.275	0.847	2.643	14.473	3.356	0.792	0	0	0	0	0
DNAJC22	4.876	34.825	0	9.525	16.107	1.071	0	0	28.777	0	1.904	0	0
NEUROG2	0	0	0	1.773	0	0.399	0	0	0	0	4.253	0	0
CEP295NL	5.161	0	0	2.941	0	0	2.914	0.344	10.661	0	0	0.578	0
BEND3	3.122	5.962	0.67	0.593	1.851	0	0	0.416	0	0	1.422	0.7	0
AC068473.1	8.008	3.336	1.374	9.125	22.791	0	0	0	0	0	0	0	0
NT5DC1	8.277	0.507	0	2.774	5.196	0	0	0	0	0	0	0.655	0
LINC00843	0	10.427	0	0	44.516	0	0	0	0	0	0	0	0
GLDC	9.953	8.708	0.512	9.3	4.249	4.592	0	0.106	0	0	1.088	0	0
COX14	9.95	44.909	2.846	88.812	70.793	113.064	0	200.581	0	0	0	220.024	0
LINC00314	11.725	0	0	3.34	52.143	0	0	0	0	0	0	0	0
MCMDC2	10.081	20.418	0	5.425	1.992	0	0	0	0	0	0	0	0
TUBAL3	23.751	0	0	0	0	0	0	0	0	0	10.82	0	0
P4HTM	0.466	0	0.6	0.796	0	0	0	0	3.848	0	0	0	0
UCN3	0	0	0	0	10.55	0	0	0	0	0	0	0	0
DTX3	0	0	0	0.992	1.549	0	0	0.464	0	0	2.38	0	0
KLHL11	0	0	0	0	0	0	0	0	0	6.084	0	0	0
AMBN	0	0	1.52	11.102	9.453	0	0	0	0	0	0	0	0
CTXN1	1.397	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A20	30.523	24.312	708.009	49.103	41.519	2.761	0	0	29.671	0	9.816	0	0
CA8	0	3.205	0.264	8.415	1.095	0.158	0	0.328	0	0	0	0.276	0
CD28	0	34.905	0.313	0	10.367	3.921	0	0	0	0	0	0	0
EPM2AIP1	17.955	23.264	0	3.493	42.066	0	0.989	0	14.474	0	1.197	0	0
ERBB4	5.195	3.133	0.469	7.322	12.646	0.07	0	0.073	0	0.371	0	0	0
MAF	21.936	21.254	0.219	1.453	19.056	2.354	0	0.815	0	0.693	1.394	0.457	2.295
CTNNBIP1	0	13.321	0.457	6.68	32.229	0	0	0	8.806	0	0	0	0
OR6B3	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB125	1.414	0	0	0	75.478	0	0	0	0	0	0	0	0
PSAPL1	0	0.792	0	0.433	4.058	4.093	0	0	0	0	0	0	0
OTOS	0	0	0	0	0	0	0	0	0	0	0	0	0
GTPBP6	0	0	0	0	0	0	0	0	0	0	0	0	0
ERN1	4.095	3.412	0.281	9.705	6.992	0.084	0	0.175	10.826	0	0.895	0	0
GPR35	2.098	0	0	1.195	7.463	0.538	1.579	0.745	0	0.95	0	0	0
C10orf53	0	0	0.354	2.349	61.6	8.242	0	0	0	0	0	0	0
CSRNP3	1.274	1.18	0.365	0.323	0.504	0	0	0	0	0	0	0	0
ZNF713	15.147	18.932	0	11.611	65.643	0.424	0	0	0	0	0	0	0
PARP10	1.18	0	0.253	1.008	0	0.302	0	0	4.874	0	0	0	0
DYNAP	0.833	12.142	0	0.949	0	0	0	0.444	0	0	0	0	0
SUZ12	29.896	41.896	0	15.794	94.754	0.279	0	0	0	0	0	0.244	0
NSUN3	1.895	1.316	0.271	7.196	4.493	9.389	0	0	0	0	6.905	0	0
KCTD12	1.429	27.391	0.245	0.977	10.169	0	0	0.305	4.724	0.776	0	83.026	0
DHFR2	9.166	3.978	0	2.176	0	1.762	0	0.611	0	0	0	0	0
RPP25	0.584	0	0	0	0	0	0	0	0	0	0	0	0
GRINA	18.307	7.334	1.209	1.605	0	39.706	0	0	0	0	0	0	0
C5orf64	10.562	3.667	0	0.501	17.223	0.451	0	0.704	0	1.195	0	0	0
THBD	0	0	0	37.502	0	0	0	0	0	0	0	0	0
GP5	27.692	31.466	0	5.164	0	0	0	0	16.641	0	0	0	0
LMO7DN	4.574	25.41	0	3.475	65.091	0	0	0	0	0	0	0	0
COX5A	76.924	231.177	0	70.411	8.973	168.727	0	0	0	0	0	0	0
STX19	0	3.201	2.637	0	0	0	0	1.638	0	0	0	0	0
ERFE	0	4.151	0.855	0	1.772	0	0	0	0	0	0	0	0
FAM219B	0	4.23	0	8.869	25.282	0.694	0	0.541	0	0	1.85	0	0
ZHX2	11.696	7.074	0.648	4.729	25.503	19.922	0	1.005	6.235	0	129.947	84.562	0
CPN2	0	1.224	0	0	2.091	0	0	0	0	0	0	0	0
CPNE7	3.503	0	0.501	0	0	0	0	0	0	0	0	0	0
C5orf46	5.777	0	1.239	4.937	20.552	0	0	0	0	0	0	0	0
CD300LB	0	1.363	0	0	0	0	0	0	0	0	0	0	0
GDPD4	2.233	3.488	0	0	21.842	0	0	0.892	9.223	0	0	0	0
RIIAD1	0	0	0	12.555	2.8	0	0	0	0	0	0	0	0
MPI	3.132	1.223	0	0.892	0.696	0.401	0	0	0	0	0	2.632	0
ADORA2A-AS1	8.399	2.763	0	4.534	0	0	0	0	0	0	0	0.396	0
H1FOO	0	0	0	0	0	0.722	0	0	0	0	0	0	0
TRIM73	0.963	3.343	0	0	2.284	0.165	0	0	0	0	0	0	0
OPLAH	0	9.159	0.343	0	0	0	0	0.213	0	0	0	0	0
TMEM52	0	2.325	0	0	0	0	0	1.784	0	0	0	0	0
TMEM139	0	0	0	2.372	0	0	0	0	0	1.885	0	0	0
RNF186	0	0	1.222	0	0	0.73	0	0	0	3.866	0	0	0
EFCAB13	8.534	44.445	0.229	10.028	0.949	4.375	2.409	0.142	48.478	0	29.159	0	0
MSC	0	0	0.723	0	0	0	0	0	0	0	0	1.51	0
APOLD1	9.826	6.653	0.422	0.28	5.244	5.289	0	0.262	0	0	0	0.22	0
RFLNA	0.561	1.168	0	0.639	1.995	0	0	0	0	0	0	0	0
EXOSC4	21.499	55.324	1.085	48.996	0	0.648	0	0	0	27.478	0	2.267	0
DPY19L3	4.291	14.44	0	0.188	12.917	0	0	0.176	0	1.793	2.707	0	0
TAF7	165.322	224.608	584.876	55.101	6.974	23.114	2013.087	209.263	21.597	28.397	7.145	0	32.344
ZNF852	0.397	1.655	0.682	0.453	5.652	0	3.588	0	0	0	4.343	0.356	1.787
FOXE1	0	0	0	1.171	9.142	0.263	0	0	16.987	0	0	0	0
PFAS	12.099	0	1.416	0.313	0.978	0	0	0.733	4.544	0	0	0	0
HYI	0	0	0	0	0	0	0	0	0	0	0	0	0
CYBC1	63.706	31.256	0.211	5.045	49.003	78.682	0	21.626	0	0	13.447	5.513	0
TPRX1	0	0	0	0.977	0	0	0	0	0	0	0	0	0
LGALS7B	0	17.267	0	0	0	0	0	0	0	0	0	0	0
ZNF552	0.595	6.201	0	37.309	10.589	0.305	0	135.763	0	0	0	0	0
SMIM10L2A	0	0	0	0	0	0	0	0.181	0	0	0	0	0
GAK	38.275	2.935	0.907	2.81	20.049	13.723	0	0.688	1.94	0	4.493	0.105	13.208
ZBTB7A	14.297	9.064	0.533	14.166	4.423	8.922	0	0.662	5.136	0	1.699	0.279	0
TUFM	112.824	106.092	0.672	27.677	0	95.594	176.961	0.417	25.895	0	179.901	0.702	24.679
ERICH3	0	3.8	0.174	6.929	13.7	0.104	0	0	0	0	0	0	0
RMI1	20.802	33.822	0	27.751	10.83	1.561	0	128.147	0	0	0	0	0
CTC1	5.816	1.731	0	5.207	1.478	12.778	0	0.111	0	0	1.136	0	0
FBXO34	0	1.794	0	11.283	0	0.221	0	0.229	0	0	7.061	0	0
LINC00324	0	44.509	2.2	32.137	3.04	82.366	0	31.877	98.861	0	18.689	0	0
SELENOW	21.646	132.458	0	90.182	99.867	16.298	0	37.125	89.425	82.674	38.829	204.665	161.317
EIF3K	143.084	92.734	0	47.102	6.787	61.941	2.873	159.602	21.018	75.998	121.681	69.554	0
MRFAP1L1	53.87	8.502	10.507	0	0	0	0	306.183	0	0	0	137.565	220.362
SNX18	12.303	0.557	0	2.133	0.951	0	0	0.143	0	0	32.167	0	2.407
EXD1	1.458	3.037	0.834	2.769	15.562	5.731	2.195	0	0	0	0	0	0
AURKB	6.352	0	0	0	2.825	0	0	0	0	0	0	0	0
TAS1R2	0	2.916	0	0	9.961	0	0	0.746	0	0	0	0	0
C14orf39	0.514	1.07	0	4.683	10.964	0	0	0	0	0	2.808	0	0
MRFAP1	105.219	110.294	0	103.86	52.453	74.553	0	0	11.075	0	3.664	84.715	0
C3orf38	9.72	1.066	0.439	41.391	81.902	0	0	0.818	0	0	0	0	0
KLHDC7A	0.346	0.72	0	0.788	0	0	0	0.737	0	0	0	0	0
AC245177.1	0.751	0	0	0	0	0	0	0	0	0	0	0	0
TMEM107	8.438	1.172	6.759	30.128	2.001	0.288	0	0	0	16.807	55.357	0	0
RRS1	10.43	0	0	0	3.711	0	0	0	0	0	0	0	0
EXOC3L1	0	0	0	3.295	59.66	0	0	0	0	0	0	0	0
TRIML2	15.168	25.522	0	11.966	18.679	0.598	0	0	0	0	3.189	0	0
RCC2	5.175	6.289	0.74	8.354	4.603	0	0	0	0	0	0	0	0
OR13D1	32.147	3.348	0	0	0	0	0	0	0	0	0	0	0
IGSF22	0	0	0	0	10.461	0.188	0	0.196	6.074	0	0	0	0
