Gene.symbol	GBM01	GBM02	GBM03	GBM04	GBM05	GBM06	GBM07	GBM08	GBM09	GBM10	GBM11	GBM12	GBM13
SELE	1.552	0	0	0.442	0	3.382	0	0	0	0	0	0	0
DNAJC11	0.35	4.375	0	21.141	9.963	0	1.581	0.373	0	0	0	0	0
FMO3	11.304	0	0	5.269	1.828	0.527	0	0	0	0	0	0	0
MYLIP	38.719	31.775	0	183.837	12.522	0	0	107.223	9.695	0	0	0	0
NOX1	3.518	0	0	0	57.569	0.721	0	0.375	23.254	0	0	0.631	0
E2F2	4.239	0	0.28	2.601	3.48	0.669	0	0	0	0	1.783	0	0
PSMB1	118.307	139.659	1.354	55.722	0	169.413	0	1088.492	0	0	0	298.388	149.057
SYN1	0	0	9.988	0.53	0	0	8.412	2.481	0	0	15.271	0.417	0
JARID2	16.27	67.787	19.547	24.607	1.052	0	5.345	11.664	58.662	2.41	6.469	2.122	5.324
CDKL5	4.064	5.21	0.984	8.312	1.483	0.053	0	0.167	5.166	0.283	1.139	0.093	0
CAMK1G	0	0	1.141	0	0	0.341	0	0	0	0	3.635	0	0
CDK11A	1.893	0	0	0.431	0	0	0	0	0	0	0	0	0
NADK	51.431	0	0.548	63.702	21.593	56.007	0	0	47.511	4.338	0	0	0
TFAP2B	3.762	0.603	3.228	2.638	5.147	0	3.921	0.925	0	0.786	1.582	1.297	1.302
TFAP2D	4.793	0	0.823	0	30.696	0	0	0	0	0	0	0	0
DLEC1	4.695	0	0.183	1.216	4.555	0	0	0.114	0	0	7	0.383	0.96
CYTH3	0	5.106	0.263	5.935	3.27	0.157	0	0.163	0	0	1.675	0	0
ADAM22	4.813	15.193	0.25	1.33	5.189	5.085	1.318	0	2.41	0	0	0.131	0
SYPL1	20.941	21.151	0	8.677	13.545	0	0	0.338	0	0	20.815	0	179.889
CYB561	3.01	0	0.287	15.626	2.38	0.514	0	0.356	0	0.908	0	0	0
SPAG9	22.905	68.786	113.983	9.661	30.69	16.012	0	0.079	7.374	0	0.813	0.267	0
CELSR3	0.257	0.802	0	0	0.913	0.066	1.159	0.068	0	0	2.805	0	0
AASS	16.666	16.955	0.998	11.483	31.713	2.782	1.751	2.065	25.619	0	0	78.525	1.744
PLEKHG6	0	0	0	0.476	0	0	1.887	0	0	0	0	0	0
SS18L2	24.675	145.641	0	96.848	68.276	0	6.192	294.371	22.653	0	7.494	119.208	0
MPND	0	0	0	0	0	0	0	0	0	0	4.747	0	0
MGST1	13.393	6.975	0	11.446	16.166	0.736	0	0	0	0	0	20.797	0
CRY1	3.867	43.936	1.207	7.61	23.76	0	7.939	1.498	0	0	1.922	0.945	1.582
PGLYRP1	222.417	247.114	1331.847	523.784	158.253	144.425	0	260.734	122.517	0	607.968	108.56	344.724
NFIX	4.518	4.117	0.485	0.322	2.009	16.645	0	0.451	4.666	0.767	0	1.266	13.975
ST3GAL1	4.02	5.862	0	17.179	49.342	0	1.816	30.419	0	0	2.198	0	0
MMP25	109.537	8.085	0	14.742	1.534	33.825	0	0	0	1.171	0	0	0
IL32	0	6.931	1.903	27.801	0	1.421	62.618	270.934	9.163	0	0	79.038	0
PKD1	0.384	2	0.33	0.328	1.025	0	0	0	0	0	0	0	0
MAPK8IP2	0	4.397	0.776	0.344	0	0	1.362	0.161	4.983	0	0	0	0
MED24	0.767	2.662	1.316	6.698	5.455	0.262	0	0	0	0	0	0	0
RHOBTB2	5.679	6.197	0	7.395	3.848	37.984	0	0	0	0	0	0	0
HEATR5B	20.382	9.034	0.372	19.767	57.084	3.446	0	0.231	0	0	0	0	0
SEC62	37.705	70.132	92.835	61.89	78.248	180.867	369.032	141.477	3.709	57.91	101.839	27.968	98.97
RPS20	701.183	493.898	202.442	129.677	278.34	1331.171	2.677	753.571	97.949	45.076	152.296	342.733	21.336
CSDE1	260.833	297.024	1.586	121.765	151.187	104.666	1.391	449.448	167.936	0	1.684	244.88	91.455
UBE3C	8.298	8.041	0.497	3.299	14.418	2.177	0.872	0.103	0	0	2.11	0	0
REV3L	16.039	42.362	0.737	9.465	23.435	52.197	1.294	20.679	0	0	0.783	0	0
TENM1	1.242	8.048	0	5.346	1.963	0.071	0	0	2.28	0	0	0.247	0
PAX7	0	0	0	0	10.027	0.144	0	0.451	0	0	0	0	0
MASP2	0	1.744	0	0	1.489	0	0	0	0	0	0	0	0
IYD	2.404	0	0	4.696	12.218	0.352	0.776	0	0	0	0	0.154	0
FAM76A	54.694	14.702	0	8.544	15.692	0	77.706	0.235	0	0	4.823	0	3.97
TRAF3IP3	28.01	0	0.591	15.174	0.817	0	0	80.743	0	0	0	0	0
POMT2	4.445	1.852	0	0.608	11.385	0	1.606	0.284	0	0	0.972	0	0
VTA1	13.721	24.5	0.21	6.98	21.792	0	0	0	0	0	89.747	58.43	0
MLXIPL	1.109	0	0	1.263	2.629	0	0	1.181	0	0	0	0	0
BAZ1B	13.371	14.715	0	7.474	24.233	5.432	1.14	0	8.338	0	0	0	0
RANBP9	1.063	7.752	0.456	44.828	7.565	0	9.606	0	0	1.444	2.906	0	0
ETV7	0	56.21	0	0	0	0.768	0	0	0	0	0	0	0
SPRTN	7.231	9.414	1.81	3.09	8.574	0	1.361	1.284	4.979	0	1.647	0.81	0
METTL13	0.465	0.969	0	0	23.157	0	417.946	0	0	0	0	0	0
DYRK4	5.297	0	0.433	1.437	9.871	15.259	0	0	12.505	0	0	0	0
ZNF207	14.272	8.193	0.482	15.878	39.178	15.957	0.508	58.921	0	49.75	2.457	17.227	0.506
UQCRC1	124.267	63	2.359	73.308	74.334	105.141	0	8.204	145.385	0	0	0	2.474
STARD3NL	20.871	92.923	4.565	1.399	8.735	94.615	12.94	1.744	20.288	0	2.237	83.281	11.049
CD9	136.28	161.084	0	232.694	41.036	28.033	1.93	69.43	49.419	203.057	23.355	345.078	355.63
HHATL	0	0	0	0	0	0	0	0	0	0	0	0	0
NCAPD2	0.823	0	0	2.813	28.299	0.141	0	0.438	4.533	0	0	0	0
IFFO1	4.104	15.673	0.293	17.146	2.433	0.175	0	0.547	5.651	0	1.87	0.307	0
GIPR	0.751	3.913	0	2.569	12.029	0.193	0	0	12.417	0	0	0	0
PHF7	5.285	0	0	0.602	13.16	0	0	0	0	0	2.889	0	0
SEMA3G	7.457	14.055	0	10.52	25.265	1.274	3.208	0.189	0	0	17.471	0	0
NISCH	0.388	0.405	0.167	2.877	1.382	0.1	0	1.035	9.629	0	0	0	0
STAB1	0.336	0	0.433	0.383	1.196	0.086	1.518	0.179	0	0	0	0.151	0
FUZ	6.032	0	1.553	12.372	25.75	0.309	0	13.177	0	0	0	0	0
SLC6A13	0	0	0	0	13.427	1.29	0	0	0	0	0	0	0
IDS	202.98	47.87	0.164	252.244	66.081	124.966	0	0	136.072	0	0	0.172	0
PRSS3	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF200	59.09	29.167	0.204	2.704	2.533	0	0	0.506	0	0	0	0.213	0
CD4	0.388	1.618	0	9.733	11.05	0.199	3.508	0	0	0	2.123	0	0
LRRC23	8.739	0	0.5	0	2.073	0	2.632	0	0	0	0	0	0
BTK	2.334	4.861	0.668	40.773	33.207	74.967	0	0	38.563	0	6.379	1.046	194.256
HFE	14.736	0.653	0	10.004	0	0	0	0	5.181	0	0	0	0
SCMH1	8.403	0.834	0	9.575	39.857	0	0	0	0	0	0	0	0
FYN	9.124	10.003	0.824	3.009	29.041	0	5.423	0	0	0	2.625	25.614	0
HIVEP2	0.999	5.205	0	1.898	1.185	0	0	0.089	0	0	0	0	0
FMO1	3.952	3.087	0.848	6.192	3.515	0	0	0	0	1.342	0	0.443	0
ELOA	0	79.071	0	3.009	0	50.76	0	27.084	0	55.58	0	0	0
LYPLA2	53.477	0	0	101.562	0	156.181	0	0.432	93.729	0	0	44.31	0
CLCN6	0.218	0.907	0.187	0.992	0	0.112	0	0.232	3.597	0	1.19	0	0
MRC2	3.631	0.54	0.668	1.182	2.768	0	0	0.138	0	31.702	0	0	0
NME1-NME2	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A7	1.216	0	1.043	0	1.442	0	0	0.432	0	0	0	0	0
TSPAN9	0.258	58.513	0	30.832	2.75	0.132	0	0	21.292	0	0	0	0
BTBD7	12.874	16.354	0	8.588	42.45	1.207	0	0	5.189	0	0	0	0
APBA3	0.32	3.336	0	16.057	1.139	0	0	0.171	0	0	0	0	0
MKS1	0	0	1.498	6.961	0	0	0	0.697	0	0	0	0	0
ABHD5	16.264	14.24	115.093	53.18	40.25	2.9	0	0	19.476	0	2.577	78.818	0
ANOS1	0.25	0	0.857	5.687	6.214	0.128	0	0.532	0	0	2.728	0.224	1.123
AKAP8L	11.206	18.968	0	0	0	0	0	1.12	0	0	15.316	0	0
MBTD1	15.814	24.708	0	23.651	38.679	3.673	0	19.486	12.25	0	0	0	0
UTP18	4.577	55.853	0.561	23.1	51.181	0	0	0	0	0	0	0	0
RNF216	16.348	7.298	0	26.08	20.771	1.317	0	0	0	0	0	0	0
TTC19	14.614	26.716	0.768	5.438	25.465	0	0	0.159	14.786	0	0	0.267	0
PTBP1	16.803	114.169	0.887	2.357	0.92	11.397	1.168	0	0	0	43.811	0.232	0
DPF1	1.483	2.317	0	0.422	1.319	0.38	0	0.79	0	0	0	0	0
SYT7	0	3.113	0.257	3.747	1.063	0	0	0.159	0	0	11.438	0	0
LARS2	7.296	1.086	0.224	0	2.781	0	1.177	0	4.306	0	0	0	0
PIK3C2A	15.272	21.747	0.332	4.406	48.831	0.099	0	0.309	0	0.525	0	0.52	0
PLAUR	184.84	19.96	0	49.131	5.681	294.298	0	0	39.584	0	0	0	0
ANLN	2.664	12.331	0.254	7.757	12.635	0	4.011	0.315	0	0	4.854	0	0
WIZ	0.362	0.377	0.777	0.825	0.644	0	0	0.193	0	0	2.97	0.162	0.815
RABGAP1	17.673	49.763	0.5	3.541	52.509	0	0	0	16.047	1.055	0	0	0
DCN	3.601	4.039	0.713	0.316	4.435	0	0.626	0.074	0	0	3.029	0	0
QPCTL	13.367	7.735	0	0.846	21.136	1.142	0	0	0	0	0	0	0
PPP5C	14.62	17.854	1.082	0.574	1.793	0.129	0	0.134	0	6.846	0	0	0
CEP68	1.032	19.344	1.771	6.113	23.491	53.42	1.864	0.44	0	0	1.128	0.37	1.857
MAP4K3	4.399	3.666	0.503	3.342	15.651	0	0	0.781	0	0	0	0	0
ZBTB32	0	0	0	0	0	0.329	0	0	0	0	0	0	0
TYROBP	2760.222	437.285	356.908	1388.214	509.48	1797.168	1603.973	740.1	162.096	122.551	697.119	1292.669	1006.328
TMEM159	14.608	13.042	0.597	1.585	7.424	0	3.142	0	11.495	0	0	0	0
