Gene.symbol	CRC01	CRC02	CRC03	CRC04	CRC05	CRC06	CRC07	CRC08	CRC09	CRC10	CRC11	CRC12	CRC13	CRC14	CRC15	CRC16	CRC17	CRC18	CRC19	CRC20	CRC21	CRC22	CRC23	CRC24	CRC25	CRC26	CRC27	CRC28	CRC29	CRC30	CRC31	CRC32	CRC33	CRC34	CRC35
RHCE	8.276	10.243	3.133	2.953	1.151	5.13	8.195	9.218	7.883	16.796	3.39	39.916	13.062	9.969	15.671	10.579	0.652	18.742	6.904	27.984	22.627	7.37	17.125	58.89	14.846	0.553	25.267	4.857	1.687	7.047	9.309	5.627	11.127	1.721	11.968
C2orf80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IDO2	0	0	0	0	0	0.165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.172	0	0	0	0	0	0	0	0
PARVB	90.59	73.873	183.197	115.551	130.726	150.217	143.669	66.435	31.484	104.204	133.552	30.598	32.119	47.689	47.325	190.17	64.421	185.565	40.697	33.538	142.46	49.596	40.026	43.313	91.64	15.576	74.516	84.537	52.603	131.627	166.21	62.757	99.429	111.602	46.106
SLC4A5	0	0.039	0.559	0.092	0	0.366	0.444	0	0.028	0.298	0	0	0	0	0	0	0.033	0	0	0	0.033	0	0	14.182	0.047	0	0	0	0	0	0	0	0	0	0
UROS	19.509	9.801	5.669	6.514	4.293	3.261	5.478	7.318	18.629	17.08	11.69	10.881	26.672	10.667	17.535	14.492	15.975	13.212	18.517	17.857	11.578	17.682	11.043	15.213	17.447	0.529	6.791	3.076	22.715	7.435	5.577	6.033	13.97	10.981	20.874
OR56A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP51A1-AS1	0	0	0.152	0	0	0	0	0	0	0	0	0	1.005	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP24-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZDHHC9	0	2.302	1.112	0.668	0.164	0.887	2.988	0	0.043	2.736	0	0	1.57	0.374	0	4.459	5.143	0	0	0	0	4.42	1.882	1.873	0.287	0	1.799	0.083	0.098	1.853	1.058	1.567	0	1.597	0
