Gene.symbol	CRC01	CRC02	CRC03	CRC04	CRC05	CRC06	CRC07	CRC08	CRC09	CRC10	CRC11	CRC12	CRC13	CRC14	CRC15	CRC16	CRC17	CRC18	CRC19	CRC20	CRC21	CRC22	CRC23	CRC24	CRC25	CRC26	CRC27	CRC28	CRC29	CRC30	CRC31	CRC32	CRC33	CRC34	CRC35
MRPL44	41.035	42.414	11.928	10.645	14.047	39.342	22.269	59.808	67.379	33.948	32.368	116.853	32.307	50.878	84.644	45.119	94.976	39.198	62.079	138.818	22.196	87.585	49.396	14.543	27.983	18.656	24.934	99.145	71.325	35.311	32.79	16.709	59.857	42.315	126.784
CHRND	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067	0	0	0	0	0	0	0	0	0	3.813	0.36	0	0	0	0	0
DOCK10	49.617	51.97	30.65	26.691	34.589	47.121	38.706	48.77	65.876	34.578	28.194	34.093	48.426	57.417	86.703	42.091	109.1	38.25	41.348	63.485	33.441	51.081	60.37	59.03	32.867	45.631	89.97	26.185	47.595	33.129	23.511	22.525	30.722	45.343	77.257
TTLL4	5.769	3.365	0.904	1.031	1.654	2.261	2.965	1.746	8.162	3.253	3.968	6.844	9.937	6.695	6.303	4.64	14.998	8.508	4.302	6.695	0.375	5.923	7.205	16.877	2.742	3.193	7.957	1.196	10.148	2.38	1.143	2.257	4.951	1.998	16.419
USP37	27.54	22.997	11.391	19.396	8.602	18.414	14.257	15.664	11.124	13.828	18.808	9.664	24.783	14.716	20.495	14.692	22.338	13.556	22.099	8.844	15.492	15.619	16.11	16.76	15.431	6.369	17.681	22.094	28.829	8.859	23.634	20.24	17.012	13.22	29.776
HTR2B	0	0	0	0	0	0.654	0	0	0	0	0	0	0.713	0	0	0.946	0	0.537	0	0	2.101	0	0	0	1.508	0	0	0	0	0	0	2.032	2.606	0	0
ITM2C	17.091	9.485	2.233	4.445	2.887	5.155	7.363	29.692	8.642	0.666	9.476	13.679	6.655	21.488	39.125	5.336	30.375	4.528	15.317	8.921	12.55	83.57	14.278	12.502	3.747	13.777	31.268	0.335	6.485	3.721	8.675	3.496	0.28	14.432	22.924
SLC19A3	0	0	0	0	0	0	0	0.023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.928	0	0	0	0	2.525	0
SERPINE2	13.566	10.225	6.935	21.116	15.093	8.423	8.89	8.144	7.207	4.425	7.55	0.413	1.954	3.803	3.695	17.502	12.191	11.343	3.029	6.19	4.452	4.964	2.436	3.411	15.362	1.966	5.195	10.435	3.636	21.148	9.774	13.654	2.88	12.557	0
DNAJB2	16.709	16.91	26.816	11.769	16.211	27.816	27.744	15.901	33.158	21.493	20.952	9.933	22.49	23.559	32.308	30.811	13.474	18.117	25.049	24.353	21.645	16.403	10.106	14.085	22.566	49.406	19.783	4.759	23.797	23.498	19.318	20.625	18.771	15.175	42.599
WNT10A	2.27	0	0	0	0	0	0	0	0	0	0	0	0	0	4.287	2.907	0	0	0.156	0	0	0	0.803	0	0	0	0	0	0.601	0	1.355	0	0	0	0
TMBIM1	73.066	94.544	178.774	104.01	186.452	200.47	228.879	105.549	42.931	100.24	131.936	43.617	44.578	61.562	74.885	103.06	79.495	147.227	56.274	66.577	122.128	52	30.218	81.652	122.224	35.478	78.476	42.322	60.787	148.428	140.808	127.12	94.439	86.506	62.51
CYP27A1	9.378	1.681	0	0	0.072	0	7.082	0.059	7.488	17.561	5.272	0	7.281	15.523	5.145	6.491	13.205	13.021	13.228	0.429	2.461	4.346	0	0.097	0.126	3.494	10.359	0	8.944	1.916	1.085	0.612	5.396	1.871	21.692
EIF4E2	34.515	29.025	11.777	8.292	11.374	24.449	21.232	28.813	119.15	31.104	21.459	51.808	46.287	35.093	44.071	33.724	47.074	25.01	36.629	31.171	17.569	54.656	63.935	66.331	19.765	34.851	41.422	63.783	75.205	18.395	16.552	15.007	30.075	36.946	39.219
ARMC9	0.01	0.016	0	0.019	0.022	0	0	1.206	0	0	0.02	0	0.095	0.761	0	0.489	0	0.25	0	0.053	0.217	0.086	0	2.96	0.078	0	0	0.181	0	0.237	0.431	0	0	0.144	0
CAB39	158.332	173.997	110.471	99.304	141.372	178.845	173.941	113.634	141.692	89.663	116.757	130.435	111.117	189.098	129.251	106.701	134.202	134.764	166.239	91.211	100.361	132.009	119.002	115.17	139.555	124.439	129.012	157.501	138.701	159.619	98.827	158.37	118.216	119.771	161.464
COX5B	163.575	170.775	41.075	37.206	48.729	102.58	61.933	212.625	308.774	132.591	167.435	327.294	200.073	256.901	231.48	178.78	199.05	150.013	269.395	154.182	135.714	339.793	374.927	192.245	98.44	225.135	223.914	435.817	247.455	95.98	103.288	32.304	146.235	169.486	255.951
REV1	23.176	11.883	8.456	8.395	4.353	9.198	9.838	15.207	21.056	9.485	8.147	26.512	14.479	18.543	10.001	22.978	9.221	12.173	9.952	36.077	11.979	12.392	14.36	31.94	11.672	39.292	18.547	19.209	16.048	10.005	10.174	11.749	11.772	20.838	17.282
TSGA10	6.655	11.052	5.35	4.846	5.023	1.394	4.634	3.568	8.444	22.341	3.069	0.431	2.046	9.866	17.103	8.709	7.312	1.112	10.05	5.345	8.14	1.982	7.322	9.283	2.806	0	4.895	10.385	11.061	4.34	1.818	5.569	8.235	6.434	14.477
MFSD9	8.556	5.599	3.748	0.675	0.493	2.578	0.924	3.073	0.155	0.05	9.838	6.61	13.298	5.722	0.714	3.893	2.724	5.69	0	0	3.182	4.169	19.709	0	1.809	0	0.223	0	9.282	1.047	1.905	1.672	0.503	0	0
TMEM127	14.291	19.965	16.409	8.681	8.424	24.139	25.163	22.771	52.447	23.078	16.778	17.02	24.167	31.092	23.502	23.402	21.009	22.319	37.269	12.503	15.234	36.134	8.955	18.965	12.647	49.422	17.931	29.419	37.148	17.145	8.131	18.206	22.409	9.206	7.368
EDAR	0	0.283	0	0.291	0	0	0.536	0	0	0	0.13	0	0	1.107	0	0	0	2.235	0	0	0	1.683	0	0	0	0.456	0	0	0	0.129	0	0.619	0	0	0
TGFBRAP1	17.168	11.067	8.289	9.112	3.695	8.803	8.577	19.351	28.03	5.538	7.793	36.174	21.74	14.361	23.321	14.667	25.005	13.379	12.965	20.46	12.66	21.315	18.441	24.245	8.02	29.28	20.854	24.269	20.42	4.568	11.161	4.712	23.638	9.064	17.779
GCC2	29.444	49.305	16.239	15.328	12.065	26.625	23.178	29.503	57.316	17.822	26.223	55.695	37.302	47.277	39.377	32.677	35.827	23.36	37.879	45.673	18.336	28.973	43.401	47.108	23.598	64.62	49.517	31.006	47.475	18.287	19.732	17.73	26.332	25.743	64.307
MRPS9	43.068	74.648	22.128	30.979	19.683	43.068	26.028	80.874	77.292	55.05	13.721	68.085	140.642	97.104	108.568	76.204	66.539	46.74	37.591	50.658	46.27	48.833	121.954	25.342	39.886	107.088	91.549	88.899	55.727	26.561	28.482	32.411	50.435	16.762	168.946
GPR45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf49	23.449	15.582	8.793	8.617	6.46	9.496	6.322	21.408	28.204	19.375	11.544	6.926	6.521	21.633	17.15	12.926	5.267	8.906	20.914	9.18	8.632	7.116	0	8.24	6.787	11.563	27.423	42.314	3.981	17.141	8.434	6.892	15.806	13.172	19.339
ANKRD36	21.864	21.579	13.6	14.014	7.158	9.579	16.151	7.862	17.662	10.502	15.924	28.852	15.557	10.003	20.011	17.836	14.196	12.166	28.718	3.915	14.575	10.506	1.619	3.108	5.637	2.695	18.53	11.358	9.851	6.934	18.92	19.74	6.33	17.52	16.724
EPC2	41.689	48.663	15.946	20.629	13.66	25.823	20.75	34.832	48.061	41.549	12.472	57.452	44.522	60.218	51.981	39.468	43.807	22.475	57.269	34.712	22.965	50.11	26.812	57.805	19.278	41.557	56.23	100.668	32.262	17.303	15.154	18.641	23.987	32.252	128.381
ARHGEF4	0	0	0	0	0.061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.095	0	0	1.402	0.054	0	0	0	0	0
ISCU	127.964	169.808	90.611	132.69	94.28	131.324	138.915	197.919	171.548	175.4	162.282	109.719	232.392	153.38	111.662	140.595	94.036	167.616	167.456	157.188	154.078	153.059	102.073	102.103	116.804	142.078	143.909	102.632	159.965	173.553	145.26	202.538	174.391	198.697	220.838
ALDH1L2	0.091	0	0.712	0.087	0.203	0.748	0	1.287	8.912	0.23	0.068	0	0.323	0.749	0	0.305	0	0.681	0	0.572	0.37	2.691	0	0	0.84	8.971	2.523	3.55	0	0	0.652	0	0.516	1.805	0
STAB2	3.012	1.08	0	0	0.023	0.843	1.022	0.171	1.579	1.357	1.838	2.265	14.646	5.144	1.885	3.102	0.028	4.442	2.383	13.008	0.113	8.732	16.025	2.706	1.701	9.049	5.148	7.916	2.872	1.538	0.149	0.393	0.079	0.751	14.978
USP44	0	1.251	0	0.205	0	0.454	1.939	1.115	0	0	0	0	0.212	0.227	1.469	0.044	0	0.134	0	2.566	0.341	4.456	0.254	0	0.21	1.061	7.428	0	13.908	0.531	0.086	0	0	0.518	0
SCYL2	74.765	87.245	93.086	113.509	118.45	104.259	107.08	62.178	93.709	87.922	67.4	73.606	55.989	53.546	63.661	73.103	63.396	54.309	64.721	43.966	77.233	65.23	31.694	39.579	99.234	63.094	62.652	85.41	44.785	113.447	79.149	97.852	70.518	70.89	43.463
CKAP4	5.96	7.281	0.801	2.38	1.007	6.525	13.701	4.126	22.761	14.34	27.73	0	12.066	49.094	0.132	5.452	12.208	7.892	37.596	0.352	8.791	22.065	1.432	15.801	0.827	2.31	9.119	0.241	6.346	5.184	2.287	1.756	9.654	6.521	0.445
PLXNC1	29.5	24.922	4.513	3.019	7.189	11.485	21.15	23.488	20.425	40.43	19.554	22.738	35.797	64.948	25.976	30.571	9.492	57.881	83.192	28.089	11.401	28.933	40.311	22.205	8.525	18.09	24.575	23.991	25.116	7.168	10.893	6.185	18.205	23.714	28.96
APPL2	15.794	19.731	10.676	23.983	19.799	17.146	16.861	16.991	9.159	16.12	10.555	20.481	21.239	15.348	25.459	17.328	22.288	17.233	24.404	17.734	18.776	18.412	19.044	29.879	17.257	18.305	28.692	22.036	7.109	15.504	16.328	13.894	18.135	26.147	19.574
PWP1	50.521	43.11	12.785	13.389	15.653	35.825	21.953	37.886	66.45	47.237	28.942	78.252	62.882	69.172	81.379	25.535	96.699	22.314	54.789	106.711	33.27	72.129	81.108	21.294	16.354	24.431	23.071	93.584	31.755	30.404	19.768	8.252	26.967	36.394	69.746
DRAM1	14.335	15.674	14.268	18.204	16.386	20.023	15.615	8.619	16.086	14.196	9.406	5.677	5.853	8.03	19.448	11.298	0.253	11.601	9.695	6.613	6.711	8.843	1.771	9.813	25.474	10.536	8.793	1.047	11.292	18.185	7.298	23.365	4.201	11.686	32.508
WASHC4	46.992	38.28	19.368	16.227	22.105	28.549	33.701	26.152	19.784	52.859	28.602	47.412	57.024	52.354	70.962	36.472	29.637	40.774	30.513	56.094	24.042	50.419	48.925	23.003	26.394	37.121	40.478	53.099	68.116	20.565	33.085	18.141	34.693	39.341	38.456
SLC41A2	2.95	8.977	1.132	0.465	1.505	3.373	0.645	2.88	1.489	4.346	0	5.081	9.188	5.85	20.856	5.318	0.77	3.185	2.692	1.789	3.308	9.211	0	3.87	2.484	11.161	8.525	31.946	10.558	0.777	0.09	0.886	0	3.793	20.727
VILL	2.422	2.13	0.45	0.398	0.299	1.436	3.555	0.491	2.334	7.183	0.03	9.972	4.978	2.346	1.703	0.401	3.388	1.639	3.252	8.379	0.891	5.197	0	2.721	1.975	0	1.457	3.649	1.268	1.942	0.5	3.524	3.277	0.862	11.49
FLNB	4.787	7.224	4.114	2.152	1.683	3.28	3.419	8.797	13.407	4.643	5.444	18.445	13.421	12.661	11.567	7.362	19.99	6.502	5.924	13.631	7.422	25.209	16.444	29.214	9.79	18.385	6.667	0.188	49.792	6.063	6.593	4.907	3.356	13.204	22.145
NEK3	5.506	3.376	6.613	3.364	5.798	2.979	2.778	5.787	8.081	1.221	6.689	1.546	10.918	7.341	8.701	1.824	12.624	5.026	16.414	0.839	6.443	8.136	0.257	17.108	5.461	0.079	14.39	9.015	5.164	4.147	3.787	4.06	3.083	4.574	0
PCDH8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VPS36	21.184	34.302	21.151	23.065	15.948	20.671	26.524	36.418	64.042	21.042	23.458	73.054	53.576	42.866	60.633	20.431	38.713	31.129	28.369	58.507	26.528	51.328	33.376	15.804	21.411	52.551	67.389	63.909	29.829	23.588	25.225	24.906	29.295	31.192	64.103
RNASEH2B	17.769	18.321	6.114	10.161	6.218	7.223	9.181	14.556	11.036	19.04	13.386	13.063	13.079	14.556	11.383	13.526	11.684	9.92	17.625	4.722	9.891	11.038	15.41	8.746	8.415	9.578	18.916	5.643	12.958	6.108	9.459	9.061	11.132	10.935	21.474
CKAP2	39.874	34.989	28.007	25.284	21.269	31.056	29.284	38.838	57.015	35.136	31.972	28.675	52.595	47.146	68.823	39.26	42.849	22.762	22.458	44.64	28.769	39.737	33.879	59.209	57.925	33.419	18.67	23.292	34.189	28.155	26.837	25.092	52.459	23.633	83.604
CNMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.693	1.239	0	0	0	0	0	0	0	0	0
TBC1D4	17.001	14.501	2.558	5.266	1.917	5.001	6.665	5.645	26.673	2.343	25.005	19.749	18.343	18.858	15.632	12.492	3.645	7.077	11.364	4.524	6.934	23.792	31.098	5.866	7.122	18.754	22.671	22.933	16.53	5.158	7.533	5.721	7.797	6.123	20.076
THSD1	17.74	3.511	0.908	0.448	3.372	1.982	2.242	7.245	29.658	12.907	8.127	12.215	22.4	9.721	16.505	23.199	41.67	7.293	8.276	19.068	9.34	17.72	2.441	38.126	4.672	45.369	8.691	33.783	18.141	1.543	3.618	3.695	3.357	16.197	3.056
BORA	12.84	17.4	4.5	2.369	4.458	5.602	3.2	5.981	8.349	1.5	3.729	31.604	11.758	6.838	1.88	12.144	10.031	14.45	9.949	8.749	6.33	10.207	27.076	34.421	7.551	35.421	4.59	9.057	6.114	1.613	10.001	9.731	8.719	9.19	0.507
LRCH1	39.836	52.813	32.432	38.199	18.365	28.67	24.297	44.856	46.966	25.107	36.983	25.443	36.796	46.505	59.827	41.785	50.94	44.013	52.944	16.744	52.703	53.721	63.21	82.11	31.154	60.502	60.984	83.731	84.119	45.99	25.303	26.357	42.858	24.638	29.444
SUCLA2	11.623	16.977	2.637	3.24	3.764	6.771	4.679	6.349	7.481	11.905	6.466	9.206	7.606	6.97	14.907	8.728	14.509	3.972	5.644	6.709	8.633	17.365	18.483	0.615	7.122	5.422	4.845	3.529	6.839	4.673	8.543	3.68	5.245	6.253	26.091
RCBTB1	12.938	10.993	2.868	1.707	3.373	10.525	7.905	8.452	28.067	15.916	12.352	16.671	17.347	19.021	23.959	11.197	15.743	10.642	12.996	2.823	5.377	9.126	25.029	22.681	5.809	9.491	43.76	11.679	0.566	5.798	3.976	4.63	19.527	15.083	13.558
MED4	68.475	122.31	59.617	82.197	42.476	74.001	49.423	68.302	183.241	58.996	84.509	230.306	46.153	123.331	96.002	71.902	125.565	80.522	74.4	109.636	53.03	106.224	53.473	93.227	68.775	92.387	52.003	77.394	94.432	65.683	70.177	63.87	33.202	93.513	131.718
PHF11	96.841	56.371	25.704	23.368	20.334	33.113	31.33	75.183	87.996	42.701	45.402	97.323	85.105	86.086	30.96	50.193	95.347	55.867	89.277	74.764	29.188	89.748	92.465	99.293	60.548	50.209	96.954	54.151	103.228	24.674	31.414	15.272	64.689	44.684	117.289
COG3	20.628	37.831	19.268	17.426	15.825	19.893	19.096	35.343	21.79	12.682	33.155	16.59	10.831	24.394	22.282	35.483	15.907	12.352	52.296	7.616	23.4	46.541	17.269	20.839	14.26	8.159	29.358	18.841	5.799	19.57	14.368	17.751	20.433	18.326	32.267
LMO7	2.446	1.386	1.264	1.744	1.004	0.818	1.123	0.774	4.649	3.873	1.001	1.498	5.283	2.098	3.772	3.32	4.895	1.041	4.732	0	1.752	1.843	1.068	0.04	1.467	6.786	1.041	0.274	5	0.318	1.609	0.572	2.394	1.36	0
SCEL	2.394	1.379	0	0	0	0.349	0	0	0	0	0	0	0	0	7.185	1.741	0	0	0.634	0	0	0	0	0	0.268	0	0	0	0	0	0	0	0	0.664	0
ITM2B	422.397	413.937	645.868	618.559	747.277	785.329	719.198	232.497	48.578	426.1	561.938	66.765	67.377	302.119	93.649	285.452	214.456	433.98	322.479	74.546	385.292	169.079	49.696	60.062	510.662	44.339	132.432	120.426	96.23	672.889	371.043	1063.49	313.833	419.617	67.088
SPRY2	8.125	2.683	3.026	3.275	3.12	8.217	3.672	0.407	0	1.359	9.343	2.979	0.903	5.161	2.921	5.83	0	1.191	1.229	16.261	0.863	8.535	14.797	11.315	8.174	7.968	1.499	4.754	11.822	3.574	6.999	0.901	4.094	7.35	11.182
NUDT15	28.745	21.218	1.924	5.181	8.932	6.882	4.073	14.478	10.109	15.748	1.645	14.342	30.186	17.283	2.172	23.974	23.437	14.604	10.548	21.595	8.497	8.678	44.03	62.372	5.201	0	40.774	2.712	14.184	7.355	7.05	12.617	1.744	11.974	0
EDNRB	3.108	1.202	0.08	0	0.96	0.786	0	1.071	0	3.722	3.352	6.501	6.973	3.933	5.774	3.243	0.66	0.731	1.807	8.491	3.834	2.263	2.689	6.388	0.403	2.878	3.017	0.312	0	2.344	0.742	0.326	1.696	3.734	2.308
RCBTB2	15.237	21.444	3.921	6.237	8.506	12.703	10.177	13.301	54.1	18.027	2.489	31.19	46.565	27.023	29.967	29.775	44.296	20.893	25.12	16.174	16.639	15.563	11.057	6.6	12.418	5.5	35.141	11.975	13.026	18.218	7.302	11.844	26.625	12.991	68.448
LCP1	1046.99	916.861	213.483	221.225	306.428	630.227	378.658	835.453	1714.184	758.606	514.968	1852.04	1136.791	1144.348	1353.85	867.738	1359.305	839.764	1292.796	1285.43	470.742	1150.838	1432.508	969.858	628.374	1107.004	873.149	1317.328	1253.321	399.756	437.66	303.531	887.389	589.839	1515.374
SETDB2	105.049	69.241	37.199	46.322	29.706	32.396	21.077	37.366	44.126	62.853	51.322	56.229	35.709	57.269	39.033	46.18	13.578	35.297	72.624	26.371	50.13	19.332	22.411	26.214	34.99	58.296	64.439	96.074	20.821	27.386	53.85	40.868	27.172	61.023	51.112
SCRN1	22.415	37.566	13.943	8.045	20.912	31.856	23.555	35.518	76.616	7.622	14.909	57.251	36.908	36.916	46.247	28.003	91.91	34.437	24.563	21.845	24.064	67.572	114.431	47.635	18.732	34.531	59.393	80.999	100.645	13.328	24.694	16.908	30.981	33.932	108.093
C7orf25	0.238	0.483	1.035	0.511	0	0.151	0.512	0.217	0	3.078	0	0	0.07	0.754	0	0	0	0	0.328	0	0.888	0	0	0	0.579	0	0	0	0	0.176	1.281	0	0.225	0	0
TNS3	25.733	19.319	9.75	6.138	19.043	17.633	25.713	14.311	26.815	13.008	25.329	23.597	37.831	23.8	49.314	49.621	16.628	26.239	17.538	30.203	18.889	44.405	29.044	34.428	14.544	25.505	44.225	23.742	60.844	23.206	9.639	16.558	22.142	28.392	47.582
SPDYE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142	0	0	0	0	0	0	0	0	0	0
CHST12	13.09	8.146	10.555	9.439	9.42	9.369	11.395	7.198	5.283	5.171	12.427	2.803	3.102	6.253	8.512	7.87	6.272	10.82	9.794	7.754	7.746	7.126	2.411	8.858	6.433	13.932	3.405	11.901	2.129	6.691	11.167	8.199	5.167	8.299	6.012
IGF2BP3	102.215	105.711	199.152	159.129	161.058	196.941	132.411	39.817	2.28	32.537	65.846	32.823	13.781	51.844	35.614	69.029	50.195	65.566	41.038	14.195	110.608	38.667	4.541	2.274	85.457	2.647	36.917	32.138	25.56	105.359	77.337	174.594	74.449	80.348	7.032
GPNMB	0	0	0.334	0	0	0.486	0	0.292	0	6.37	0	0	0.227	0.243	1.787	0.313	1.357	0.08	1.368	0.551	0	0	0	0	0.623	5.176	0	0.072	0.934	0.189	0	3.173	0	4.852	24.372
RAPGEF5	8.844	9.47	0.963	3.687	1.535	4.993	3.081	3.896	20.394	8.572	1.273	9.694	16.246	14.133	17.812	22.196	7.999	8.76	7.079	2.099	3.403	21.675	42.086	11.955	3.93	23.102	14.89	12.602	21.234	6.75	4.196	1.96	5.142	7.628	16.106
RAC1	340.764	497.059	419.608	355.699	488.889	492.291	459.69	372.699	368.587	630.035	358.331	274.316	410.936	333.039	350.23	470.827	354.518	475.083	340.424	307.172	377.315	349.026	397.52	239.24	431.848	370.734	280.452	232.311	456.884	470.941	402.112	552.519	345.635	527.941	210.908
KDELR2	39.715	32.134	25.174	14.915	17.599	14.353	15.883	21.156	25.73	37.807	26.389	27.037	43.32	28.368	48.141	25.507	42.072	16.568	19.512	50.744	20.762	35.744	32.838	35.909	12.071	32.186	13.777	31.26	70.466	14.61	15.408	33.399	22.922	18.538	20.271
NUPL2	26.628	52.379	16.998	22.745	16.231	19.787	11.797	30.538	36.434	13.641	27.807	21.291	35.923	29.18	9.447	18.389	6.418	37.687	65.342	31.365	34.465	15.669	25.678	15.482	15.513	13.321	40.304	52.124	57.465	17.933	26.467	17.143	20.948	21.097	34.087
IL6	0	0	0.217	0	0.937	0	5.851	3.756	0	3.152	0	0	6.299	2.131	0	0	11.627	0.583	0	0	1.267	3.866	0	0	1.091	0.487	0.472	0	0	0.552	0	0	0	4.722	0
ZDHHC4	16.002	16.921	30.003	27.918	19.862	22.842	20.352	21.497	17.444	35.26	43.567	16.712	23.975	20.801	25.551	16.331	11.743	27.131	27.434	55.122	25.942	13.106	18.264	17.46	28.773	19.092	34.931	0	0.288	18.477	27.159	20.529	3.908	33.35	72.765
AOAH	47.656	47.336	9.517	8.503	20.619	17.222	63.7	41.004	91.923	28.796	33.003	38.052	76.862	45.859	51.513	55.232	40.821	38.011	41.702	23.919	22.033	19.491	10.152	20.575	12.542	20.21	12.788	18.703	21.926	19.051	12.642	11.442	16.468	25.844	26.731
BZW2	29.342	18.576	17.327	17.005	9.176	18.98	11.343	18.18	52.926	16.026	19.483	69.739	26.597	33.585	29.926	22.053	27.721	29.779	18.784	16.146	14.317	16.196	40.42	7.336	17.878	60.407	49.296	27.248	27.04	21.693	19.943	5.733	21.579	36.205	68.47
DGKB	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0.155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBRG4	12.945	5.456	1.352	2.445	0.817	2.994	4.499	10.316	13.531	0	7.37	6.07	7.052	6.375	10.166	5.412	3.28	1.871	5.422	6.528	3.614	3.137	2.503	8.462	2.788	7.068	16.367	10.106	7.604	4.038	1.274	2.831	1.639	2.886	0
DDX56	9.185	9.864	3.252	3.397	5.56	9.204	8.227	22.878	6.378	2.137	6.223	24.895	25.404	17.466	31.301	15.324	32.883	7.947	9.372	6.418	13.919	15.325	36.386	17.966	6.29	19.421	17.99	6.993	15.639	10.396	11.476	2.692	3.417	13.723	1.988
HUS1	16.421	18.795	5.355	5.388	6.457	8.351	13.826	13.816	21.502	21.826	1.356	19.257	30.481	22.034	47.691	21.064	13.273	11.29	10.137	10.044	12.715	13.581	4.81	16.897	7.703	51.702	28.539	1.6	10.379	6.686	21.405	6.451	7.846	12.925	47.706
NACAD	0.965	0	0	0	0	0	0	0	0	0	0	2.338	0	0.349	0	0	0	0	0	0	0	0	7.414	0	0	0	0	0	3.339	0	0	0	0	0	0
C7orf69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DBNL	52.327	40.808	56.02	36.242	43.038	49.522	57.533	50.536	80.934	43.518	52.477	63.298	39.943	86.403	30.52	50.821	76.786	53.036	74.37	40.224	64.876	57.31	67.792	69.4	46.484	49.572	48.349	43.496	70.885	60.253	47.115	48.586	40.807	37.143	46.652
CCM2	21.543	18.187	11.763	7.553	12.089	18.931	16.768	22.645	25.272	29.571	15.093	35.756	18.746	34.018	20.247	16.048	30.158	22.018	29.31	34.041	15.833	38.638	31.705	22.874	14.14	15.341	24.089	30.383	18.592	9.204	9.587	9.8	22.14	21.966	21.119
MYO1G	69.692	45.297	15.003	15.369	15.352	31.52	48.656	69.327	131.753	24.608	14.505	101.554	57.322	67.433	91.694	35.771	138.102	47.55	61.835	51.885	25.113	46.94	56.034	64.016	34.708	61.251	72.492	132.189	49.443	27.309	24.735	16.734	64.223	33.583	40.224
TTYH3	33.041	17.416	109.267	91.323	83.219	53.147	107.736	30.571	33.721	27.202	37.488	54.32	22.009	17.708	31.77	112.346	27.217	50.11	15.704	22.301	51.583	22.639	11.718	17.439	91.166	10.422	24.04	22.064	26.62	168.499	36.426	34.401	54.318	31.878	29.297
MMD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIDEB	35.234	27.496	12.129	12.444	6.735	13.239	13.137	22.199	84.453	29.159	31.006	45.13	80.5	33.402	37.642	37.51	0.992	39.682	22.26	32.976	18.198	55.982	74.313	14.723	16.707	42.365	14.443	34.486	32.729	16.263	15.465	13.129	30.43	19.638	49.572
AL355922.1	0	22.325	0.665	2.187	2.557	0	0	1.048	0	0	0	0	0	0	0	29.429	0	22.909	27.69	0	0	0	0	42.859	49.127	0	0	1.299	0	3.392	0	2.708	13.027	4.141	0
TTC5	6.723	8.657	2.379	4.955	2.819	3.53	5.063	5.75	3.906	5.107	4.703	7.209	3.039	6.185	6.301	5.523	17.515	3.157	2.885	19.306	7.32	15.605	25.363	12.471	3.063	2.529	6.804	7.801	9.675	6.772	3.905	4.797	5.051	4.458	17.668
NKX2-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NKX2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFHX2	0.449	0	0.066	0.036	0	0	0.117	0	0	0.043	0	0	0	0	2.226	1.049	0	0.262	0.895	0	0.026	0	0	0	0	0	0.996	0	0	0	0	0	0	0.551	0
MTHFS	11.5	5.183	10.434	3.046	7.255	12.888	4.07	4.218	0.829	0.266	0.94	0.749	14.561	30.906	29.516	21.112	0.809	8.864	10.449	11.442	14.287	2.365	0.671	25.119	16.82	0	10.158	41.808	0.628	0.35	13.87	1.118	4.929	17.947	0
ADAMTS7	0.839	0	0	0	0	0.063	0	0	0	0	0	0	0.148	0.032	2.265	0	0	0.343	0	0	0.305	0.107	0	0.934	0.779	0	0	0	0	0	0.299	0	0	0	0
ABHD17C	4.644	2.031	0.124	0.914	0.178	1.147	0.065	0.049	0	0	8.725	1.888	5.421	1.013	13.091	9.57	0.364	0	0.074	2.047	0	15.515	0	0	1.037	0	3.856	0	0	6.145	0.637	0	0	0.385	0
IREB2	28.791	24.789	10.291	13.606	14.053	18.82	15.156	27.047	49.486	17.742	17.181	37.737	46.505	30.993	65.709	29.413	23.412	22.193	24.821	33.328	16.133	17.257	39.419	27.16	20.718	44.271	18.813	52.164	42.922	17.824	15.485	13.768	37.376	23.893	101.047
